QUEST_20150317_000001	Please select the user requiring a quest update.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM
QUEST_20150317_000665	After a few days, my seniors told me that Gabija would be the new owner of the tower. {nl}When the goddesses disappeared from the world, I was told to keep quiet.	며칠 뒤, 선배들은 가비야님께서 이 탑의 주인으로 계실 거라고 하셨다.{nl}그리고 세간엔 여신께서 사라진 걸로 되어 있을 것이라며 철저히 입단속도 당부받았다.{nl}				수습 마법사 제인의 일기
QUEST_20150317_000666	Are things really going to be okay? {nl}Well... those people were never wrong about anything before so I guess it will be.	정말 괜찮은 걸까? {nl}뭐.. 선배들이 딱히 틀린 말은 한 적이 없으니 괜찮을 것이다.				수습 마법사 제인의 일기
QUEST_20150317_000667	Chronomancer Ron	시간 마법론 주석				
QUEST_20150317_000668	Archmage Agailla Flurry, owner of the Mage Tower, {nl}made many contributions to magic.	마법사의 탑의 주인인 대마법사 아가일라 플러리는 마법학에 무수한 기여를 하게 된다.{nl}				시간 마법론 주석
QUEST_20150317_000669	She learned many spells and even created a new category of skills.	그녀는 모든 계열의 모든 주문을 익히고 새로운 주문을 창안하였으며 심지어 새로운 계열을 창조하기도 한다.{nl}				시간 마법론 주석
QUEST_20150317_000670	The most prominent example of which was Chronomancy - time magic. {nl}With it, Agailla Flurry lived a long life.	그 중 대표적인 분야는 크로노맨서라는 시간 마법으로 이를 이용하여 아가일라 플러리는 오랜 수명을 누릴 수 있게 되었다.{nl}				시간 마법론 주석
QUEST_20150317_000671	There were many others in the past who lived longer than you might expect, {nl}but Agailla Flurry is the first to have lived a long life by her own design.	그 이전에도 여신의 은총을 입고 인간의 수명 이상을 누린 이는 있었으나 아가일라 플러리는 인간의 의지로 장수한 첫 번째 사례로 기록될 것이다.				시간 마법론 주석
QUEST_20150317_000672	The Pedigree of Magic	마법의 계보				
QUEST_20150317_000673	Magic, at the beginning, began from the investigation of mana {nl}and the review of basic elements.	초기 마법은 마나 그 자체를 연구하거나 기초 원소로 환원하는 것에서 시작하였다.{nl}				마법의 계보
QUEST_20150317_000674	After that, the basic senses, religious belief of the goddesses, {nl}and mathematical approaches were mixed to find areas for expansion.	그 후 선천적인 자각이나 여신의 신앙, 수학적 접근이 가미되어 마법학은 새로운 확장을 꾀하기 시작했다.{nl}				마법의 계보
QUEST_20150317_000675	The research twisted previous notions of time and space, {nl}which were beyond the changes of the body, {nl}and the rules of physics and the elements progressed significantly.	이로 인해 신체나 원소 변화 등 물리법칙을 넘어서서 시간과 공간의 관념 등을 뒤트는 연구가 활발하게 진행되었다.				마법의 계보
QUEST_20150317_000676	The Report of the High Barrier Magic	고위 결계 마법 조사 보고서				
QUEST_20150317_000677	The barrier in this tower could not have possibly been created by the Demon Lord alone.	이 탑에 걸려 있는 감금 결계는 마군주 혼자선 절대로 만들어 낼 수 없는 것이다.{nl}				고위 결계 마법 조사 보고서
QUEST_20150317_000678	It acts like a tight-knit net. {nl}Someone with a normal level of divine power cannot escape from it.	마치 얼기설기 엮은 그물과도 같아 일정 이상의 신성한 힘을 가진 것만은 결계 밖으로 나갈 수 없게 만들어져 있다.{nl}				고위 결계 마법 조사 보고서
QUEST_20150317_000679	For what reason was this barrier created?{nl}Is it related to the fact that the goddess who controls the flames of this world is staying here?	도대체 어떤 이유로, 이런 결계를 만들었을까.{nl}세계의 불꽃을 관장하시는 여신 가비야께서 굳이 이 탑에 머물러 있는 이유가 이 결계와 관련된 것일까.{nl}				고위 결계 마법 조사 보고서
QUEST_20150317_000680	Agailla Flurry called Gabija to this tower, so this barrier is not meant to lock Gabija in. {nl}To find out the reason for this, we first have to understand the composition of the barrier.	아가일라 플러리님이 가비야님을 이 탑에 능히 불러낸 것을 보아 이 결계는 굳이 가비야님을 가두려는 건 아닐 것이다.{nl}그 이유를 알려면 먼저 결계의 구성부터 알아낼 필요가 있었다.{nl}				고위 결계 마법 조사 보고서
QUEST_20150317_000681	After a long investigation, we've found that this barrier was {nl}not only created with the power of Helgasercle, but rather blended with mana of different wavelengths.	오랜 연구 끝에 이 결계는 헬가 세르클의 힘만으로 만든 것이 아니라 다른 파장의 마나가 섞여있다는 것을 알게 되었다.{nl}				고위 결계 마법 조사 보고서
QUEST_20150317_000682	We've also found that mana was composed by aligning the foundation stones in a certain position.	또한 그 마나는 마법의 주춧돌들을 진의 형태로 늘어놓아 구성된 것으로 파악되었다.{nl}				고위 결계 마법 조사 보고서
QUEST_20150317_000683	We were able to retrieve some of those foundation stones from various areas in the kingdom. {nl}The new information that we learned from them was astonishing.	우리는 왕국의 각지에서 그 주춧돌들의 일부를 회수할 수 있었다.{nl}여기서 새롭게 알게 된 사실은 가히 충격적이였다.{nl}				고위 결계 마법 조사 보고서
QUEST_20150317_000684	The mana provided to use barrier magic wasn't voluntary. {nl}We theorize that the levels of the Demon Lords were divided and sealed into the foundation stones and aligned into a position.	결계 마법에 쓰인 마나의 제공은 결코 자발적인 것이 아니었다.{nl}마군주 급의 존재를 나누어 이 주춧돌에 봉인한 뒤 진의 형태로 구성한 것이라고밖에 추측할 수 없었다.{nl}				고위 결계 마법 조사 보고서
QUEST_20150317_000685	The key to unlock this barrier is in the foundation. {nl}We'll continue to search for the answer after we block Helgasercle's invasion.	결국 결계를 푸는 열쇠는 이 주춧돌에 달려있다고밖에 할 수 없다.{nl}이번 헬가 세르클의 침공을 막아내고 난 뒤에 그 해답을 찾을 수 있을 것이다.				고위 결계 마법 조사 보고서
QUEST_20150317_000686	The Understanding of Mana	마나의 이해				
QUEST_20150317_000687	Unlike priests who control the blessing of the goddess directly, {nl}the wizard is defined as a person who releases various magic information or the blessing of the goddess.	여신의 은총을 직접 다루는 성직자와는 달리, 마법사는 마나에 여신의 은총이나 여러가지 마법학적 지식을 섞어 방출하는 것이라고 정의를 내릴 수 있다.{nl}				마나의 이해
QUEST_20150317_000688	Okay so, what is mana? {nl}We can say the true quality of mana is the life force on this land. {nl}The life force of nature. It doesn't just imply the length of lives.	그렇다면 도대체 마나란 무엇인가.{nl}마나의 본질은 이 땅의 생명력이라고 말할 수 있다.{nl}자연의 생명력. 그것은 단지 수명 따위를 말하는 것이 아니다.{nl}				마나의 이해
QUEST_20150317_000689	The life force is a form of energy that composes this world and it spreads like branches to various places in the world. {nl}If you could find the source of that energy, you may obtain astonishing power.	생명력은 이 세계의 근간을 이루는 에너지의 형태로 마치 뿌리처럼 세계의 구석구석에 흐르고 있다.{nl}그 에너지를 내뿜는 근원을 찾아낸다면 엄청난 힘을 얻을 수도 있을 것이다.{nl}				마나의 이해
QUEST_20150317_000690	The Diary of Antares' Investigation	안타레스의 연구 일지 1권				
QUEST_20150317_000691	As I was investigating mana, I discovered one important fact: {nl}The mana which flows steadily in the Mage Tower behaves strangely on the top of the tower	마나에 관한 연구를 계속하던 중 나는 한 가지 중대한 사실을 발견하게 되었다.{nl}마법사의 탑을 일정하게 흐르고 있는 마나가 마법사의 탑 상층부에서만큼은 이상한 움직임을 보이고 있는 것이다.{nl}				안타레스의 연구 일지 1권
QUEST_20150317_000692	After lengthy research, I found out that there is a third type of energy which is {nl}different from the types of mana we know of, and it has a shape of a specific object.	나는 오랜 연구 끝에 마법사의 탑 상층부에는 우리가 알고 있는 마나의 질 과는 다른 제 3의 에너지가 있으며 그것이 특정한 사물의 형태를 지니고 있다는 것을 알게 되었다.{nl}				안타레스의 연구 일지 1권
QUEST_20150317_000693	This object must be from the era of Agailla Flurry as no one knows the existence of this object.	아무도 이 물건의 존재를 모르는 것으로 보아 분명 아가일라 플러리 시대의 것으로 추측된다.{nl}				안타레스의 연구 일지 1권
QUEST_20150317_000694	I am sure that this object will bring a new beginning of magic, {nl}but since it is separated at the highest place atop the tower, we have no way to reach it.	나는 그 물건이 마법의 신기원을 열 것이라고 믿어 의심치 않지만 탑의 상층부 깊은 곳에 따로 격리되어 있기 때문에 도저히 접근할 방법이 없다.{nl}				안타레스의 연구 일지 1권
QUEST_20150317_000695	We can't demolish the tower nor destroy part of it just to get it.	하지만 그렇다고 해서 탑을 폭파한다거나 일부를 파괴하는 건 있을 수 없는 일이다.{nl}				안타레스의 연구 일지 1권
QUEST_20150317_000696	I will end my writing by stating that this object has more to be investigated.	좀 더 이 물건에 대해 자세히 연구해 볼 필요가 있다고 생각하며 이 글을 마친다.				안타레스의 연구 일지 1권
QUEST_20150317_000697	Potter's Clay Tablet	도공의 점토판				
QUEST_20150317_000698	I hope Fedimian is restored to its previous state before I die. {nl}At least, I hope I can make thousands of potteries with a wish in each of them.	내가 죽기 전에 페디미안이 완전히 복구되기를. {nl}하나못해 소원이 담긴 도자기를 천 개라도 빚을 수 있기를.				도공의 점토판
QUEST_20150317_000699	Girl's Clay Tablet	어느 소녀의 점토판				
QUEST_20150317_000700	I hope you find your lost brother at the Goddess' Ancient Garden.	여신의 옛뜰에서 잃어버린 오빠를 찾을 수 있기를 빕니다.				어느 소녀의 점토판
QUEST_20150317_000701	Commander Willis' Clay Tablet	지휘관 윌리스의 점토판				
QUEST_20150317_000702	I pray to the goddess that I can continue my work as an administration officer in the city. {nl}I don't like the work as a dispatched worker.	도시에서 행정장교 일을 계속하길 여신께 간절히 부탁합니다.{nl}파견 근무는 너무 싫습니다.				지휘관 윌리스의 점토판
QUEST_20150317_000703	Klaipeda Farmer's Clay Tablet	클라페다 농부의 점토판				
QUEST_20150317_000704	I want to take back my farm and experience the challenge of potato farming again.	내 농장을 다시 되찾아 감자 농사에 도전해 보고 싶다.				클라페다 농부의 점토판
QUEST_20150317_000705	Soldier's Clay Tablet	어느 병사의 점토판				
QUEST_20150317_000706	I hope Ryudas gets called up to the military. {nl}I hope the supplies come in time at the battlefield!	류다스님의 부대로 전출되기를. {nl}이번 출정지에선 보급이 제대로 이루어지기를!				어느 병사의 점토판
QUEST_20150317_000707	I hope we can recapture Kateen Forest. {nl}I hope we never encounter Deadborn.	카틴 숲을 되찾을 수 있기를. {nl}데드본과는 절대 마주치지 말기를.				어느 병사의 점토판
QUEST_20150317_000708	Ranger Master's Clay Tablet	레인저 마스터의 점토판				
QUEST_20150317_000709	I don't like Fiona and wonder why she's the Hunter Master. {nl}But, if we need her to defeat Evoniphon, I'm fine with allying with her.	피오나는 정말 싫어. 그런 주제에 헌터 마스터나 하고 있고.{nl}하지만 에보니폰을 처치하기 위해서라면 피오나와 손을 잡아도 상관 없어.				
QUEST_20150317_000710	Coben's Clay Tablet	코벤의 점토판				
QUEST_20150317_000711	I pray to the goddess that I find my lost brother again. {nl}We could open another bar and spend all day there listening to his heroic stories.	여신께 간청하길 잃어버린 형님을 다시 찾을 수 있었으면 좋겠습니다.{nl}그럼 다시 주점을 열어서 형님의 무용담이나 들으면서 하루를 보낼 수 있겠지요?				코벤의 점토판
QUEST_20150317_000712	Kevin's Clay Tablet	케빈의 점토판				
QUEST_20150317_000713	I hope I can make it big out of the excavation site of Zachariel's Royal Mausoleum...	자카리엘의 왕릉 발굴지에서 크게 한건 할 수 있기를.. 				케빈의 점토판
QUEST_20150317_000714	Uska's Clay Tablet	우스카의 점토판				
QUEST_20150317_000715	Goddess.{nl}As the commander that leads the knights, I hope I can protect Klaipeda myself.	여신이시여. {nl}기사단을 이끄는 수장으로써 제 힘으로 클라페다 만큼은 반드시 지켜낼 수 있기를 빕니다.				우스카의 점토판
QUEST_20150317_000716	Wizard Master's Clay Tablet	위저드 마스터의 점토판				
QUEST_20150317_000717	I will become a Wizard Master some day. {nl}And then I will become a great wizard like Agailla Flurry.	언젠가는 위저드 마스터가 될 거야. {nl}그런 다음엔 아가일라 플러리 만큼 위대한 마법사가 될 거야.				위저드 마스터의 점토판
QUEST_20150317_000718	Clay Tablet with a wish in it	소원을 적은 점토판				
QUEST_20150317_000719	It is all due to the blessing of the goddess that we {nl}were able to avoid Medzio Diena in Andale Village. {nl}I hope our village is happy and flourishes from now on.	우리 안데일 마을이 신수의 날을 비껴간 것은 전부 여신의 은총입니다.{nl}앞으로도 우리 마을이 행복하고 번창했으면 좋겠습니다.				소원을 적은 점토판
QUEST_20150317_000720	Titas' Clay Tablet	티타스의 점토판				
QUEST_20150317_000721	I hope the Revelators I've met find the goddesses. {nl}I don't understand why I couldn't become a Revelator myself though.	내가 만났던 계시자들이 여신을 되찾아주길 바라오.{nl}하지만 어째서 나는 계시자가 될 수 없었는지 아쉬울 따름이오.				티타스의 점토판
QUEST_20150317_000722	Paladin Master's Clay Tablet	팔라딘 마스터의 점토판				
QUEST_20150317_000723	I beg to the goddess. {nl}I hope the day where the Watchers collect my pledge never comes...	여신께 간청합니다. {nl}부디 파수꾼들과의 맹약을 실현시킬 그 날이 오지 않길.. 				팔라딘 마스터의 점토판
QUEST_20150317_000724	Cyrenia Odell's Clay Tablet	시레니아 오델의 점토판				
QUEST_20150317_000725	I hope I can solve the secret of the Royal Mausoleum of Zachariel.	자카리엘 왕릉의 비밀을 풀 수 있었으면 좋겠다.				시레니아 오델의 점토판
QUEST_20150317_000726	While I am dispatched, I pray to the goddess that I never get cursed by petrification.	제가 파견나간 동안은 석화의 저주에 걸리지 않길 여신께 바랍니다.				어느 병사의 점토판
QUEST_20150317_000727	Pilgrim's Clay Tablet	어느 순례자의 점토판				
QUEST_20150317_000728	I am going to the Great Cathedral to pledge my marriage with him. {nl}I hope the Pilgrim's Way is safe.	그와 결혼의 맹새를 하러 대성당으로 갑니다. {nl}순례의 길이 부디 안전했으면 좋겠습니다.				어느 순례자의 점토판
QUEST_20150317_000729	Wizard's Clay Tablet	어느 마법사의 점토판				
QUEST_20150317_000730	Helgasercle, stop attacking!	헬가 세르클, 그만 좀 공격해 와라.				어느 마법사의 점토판
QUEST_20150317_000731	Zachariel's Fragment	자카리엘의 파편				
QUEST_20150317_000732	Forever shine, my Kingdom!	끝없이 빛나는 왕국이여. 영원하라!				자카리엘의 파편
QUEST_20150317_000733	Tesla's First Fragment	테슬라의 첫 번째 파편				
QUEST_20150317_000734	I hope to fulfill my dream of becoming a great sculptor!	위대한 조각가의 꿈을 이룰 수 있기를!				테슬라의 첫 번째 파편
QUEST_20150317_000735	Tesla's Second Fragment	테슬라의 두 번째 파편				
QUEST_20150317_000736	I hope Sequoia protects the owl well.	세콰이아가 부엉이를 잘 지켜 주었으면 좋겠다.				테슬라의 두 번째 파편
QUEST_20150317_000737	Tesla's Third Fragment	테슬라의 세 번째 파편				
QUEST_20150317_000738	When I die, I hope my disciples will stand by me.	내가 죽을 땐, 많은 제자들이 나의 곁을 지켜 주었으면 좋겠다.				테슬라의 세 번째 파편
QUEST_20150317_000739	Tesla's Fourth Fragment	테슬라의 네 번째 파편				
QUEST_20150317_000740	Maven. He was such a good friend. I hope he rests in peace beside the goddess...	메이번. 참 좋은 친구였는데. 여신의 품에서 편히 쉬길..				테슬라의 네 번째 파편
QUEST_20150317_000741	Maven's Fragment	메이번의 파편				
QUEST_20150317_000742	I hope my disciples wish for a great dream without any problems.	나의 제자들이 탈 없이 원대한 꿈을 이룰 수 있기를.				메이번의 파편
QUEST_20150317_000743	Ruklys' Fragment	루클리스의 파편				
QUEST_20150317_000744	Now is the moment that we become one with our blades. {nl}My last wish is to die beside the one I love.	검의 경지를 이룬 지금, 사랑하는 이의 품에서 죽는 것 만이 마지막 소원이오.				루클리스의 파편
QUEST_20150317_000745	Lydia Schaffen's Fragment	리디아 샤펜의 파편				
QUEST_20150317_000746	Ruklys... I am sorry.	루클리스.. 미안해요.				리디아 샤펜의 파편
QUEST_20150317_000747	Agailla Flurry's Fragment	아가일라 플러리의 파편				
QUEST_20150317_000748	Goddess, my mission is too much of a burden on me.	여신이시여. 저의 사명은 너무나도 무겁습니다.				아가일라 플러리의 파편
QUEST_20150317_000749	Premier Eminent's Fragment	프리미어 에미넌트의 파편				
QUEST_20150317_000750	I don't care about wishes. I will strive for myself.	소원 같은 것은 전부 부질없다. 내 스스로 쌓아올릴 뿐이다.				프리미어 에미넌트의 파편
QUEST_20150317_000751	King Kadumel's Fragment	국왕 카듀멜의 파편				
QUEST_20150317_000752	Kalejimas. How sweet the word is!	칼레지마스. 이 얼마나 유쾌한 단어인가!				국왕 카듀멜의 파편
QUEST_20150317_000753	Rimgaudas' Fragment	림가우다스의 파편				
QUEST_20150317_000754	My work will be done once the Tenet Church is completed. {nl}May the goddess guide us until the end.	테넷 성당만 무사히 완공된다면 나의 할 일은 모두 끝난 것이다.{nl}여신이시여. 끝까지 보살펴 주시옵소서.				림가우다스의 파편
QUEST_20150317_000755	Lucid Winterspoon's Fragment	루시드 윈터스푼의 파편				
QUEST_20150317_000756	May my plan be successful and earn me the title of Chronomancer Master.	작전이 반드시 성공하여 크로노맨서 마스터의 지위를 얻을 수 있기를.				루시드 윈터스푼의 파편
QUEST_20150317_000757	Encyclopedia of Masters, Chapter 1	현대 마스터 총람 1권				
QUEST_20150317_000758	This book contains information of all current masters. {nl}Publication will continue so look forward to the next book.	이 책자는 현대의 모든 마스터들의 정보를 아우르고 있습니다.{nl}앞으로 계속 출간될 예정이오니 다음 권도 기대해 주세요.{nl}				현대 마스터 총람 1권
QUEST_20150317_000759	Highlander Master {nl}[Douglas Black] {nl}An experienced general from the noble class who was in charge of the Royal Guards. {nl}As the leader of Highlanders, he worked up front, saving the world from chaos.	하이랜더 마스터{nl}[더글라스 블랙]{nl}귀족 출신의 경험 많은 장교로 수도에서 왕실의 경비대장을 역임하였습니다.{nl}하이랜더들의 지도자로써 혼란에 빠진 세상을 구하는 일에 최선을 다하고 있습니다.{nl}				현대 마스터 총람 1권
QUEST_20150317_000760	Chronomancer Master {nl} [Lucid Winterspoon] {nl}Alchemist of a prominent family, she refused her title to become a Chronomancer. {nl}No one but the Alchemist Master knows her true age. It is said she's been around since the inauguration ceremony of the Tenet Church.	크로노맨서 마스터 {nl}[루시드 윈터스푼]{nl}알케미스트의 명가에서 태어났지만 그 직위를 마다하고 크로노맨서의 길에 매진하였습니다.{nl}그녀의 나이를 아는 사람은 알케미스트 마스터인 바이도타스 빼곤 아무도 없지만, 일설엔 테넷성당의 완공식에도 참석하였다고 합니다.{nl}				현대 마스터 총람 1권
QUEST_20150317_000761	Ranger Master {nl} [Nemocen] {nl}Successor to the legendary Lydia Schaffen, is the shooter of tower-born stand-star. {nl}Famous for chasing down assassin, Evoniphon. Rumor has it he doesn't get along well with Hunter Master, Fiona Ieva.	레인저 마스터 {nl}[니모켄]{nl}전설의 명사수 리디아 샤펜이 세운 별의 탑 출신의 궁수입니다.{nl}암살자 에보니폰을 쫓고 있기로도 유명한데요. 들려오는 소문으로는 헌터 마스터인 피오나 이에바와는 무슨 일인지 사이가 안좋다고 하네요.{nl}				현대 마스터 총람 1권
QUEST_20150317_000762	Paladin Master {nl} [Valentinas Naimon] {nl}The most well-known hero of the legendary four heroes. {nl}He saved many lives in his verse during Medzio Diena.	팔라딘 마스터 {nl}[발렌티나스 나이몬]{nl}전설적인 4대 영웅 중에서 가장 잘 알려진 영웅입니다.{nl}신수의 날 당시엔 그의 성구로 많은 인명을 구했다고 하네요.				현대 마스터 총람 1권
QUEST_20150317_000763	Book Shelf	책장				
QUEST_20150317_000764	(It's too difficult to read.)	읽기엔 너무 어려운 내용인 것 같다.				책장
QUEST_20150317_000765	(There are several books on the shelf.{nl}Which book shall I read?)	여러 가지 책이 꽂혀 있다.{nl}어떤 책을 읽어 볼까?				책장
QUEST_20150317_000766	(It's under a spell and can't be read.)	마법이 걸려 있어 읽을 수 없다.				책장
QUEST_20150317_000767	(There are some books worth reading.{nl}Which one shall I read?)	책 무더기 사이로 읽을 만한 책들이 보인다.{nl}어떤 책을 읽어 볼까?				책 무더기
QUEST_20150317_000768	(There are some books that I can read.{nl}Which one should I read?)	몇몇 책은 읽을 수 있을 것 같다.{nl}어떤 책을 읽어 볼까?				책장
QUEST_20150317_000769	Pot	도자기				
QUEST_20150317_000770	(I can put my hand in this pot.{nl}Which pot should I check?)	도자기 안에 손을 넣을 수 있을 것 같다.{nl}어떤 도자기를 살펴 볼까?				도자기
QUEST_20150317_000771	(There is something in the pot. {nl}Which one should I check?)	도자기 안에 무언가 들어 있는 것 같다.{nl}어떤 도자기를 살펴 볼까?				도자기
QUEST_20150317_000772	(There are some old pots among the new pots. {nl}Which one should I check?)	새 도자기 사이에 아주 낡은 도자기들이 보인다.{nl}어떤 도자기를 살펴 볼까?				도자기
QUEST_20150317_000773	(Seems like you can take out the contents of the pot if you turn it upside down.{nl}Which one should I turn?)	도자기를 뒤집으면 내용물을 꺼낼 수 있을 것 같다.{nl}어떤 도자기를 뒤집어 볼까?				도자기
QUEST_20150317_000774	(There are fragments scattered among the pot.{nl}Should I take a look?)	도자기 사이에 부스러진 파편들이 보인다.{nl}한 번 살펴 볼까?				도자기
QUEST_20150317_000775	(There is a clay tablet with writing on it.{nl}Should I take a look?)	무언가가 깨알같이 쓰여져 있는 점토판을 발견했다.				도자기
QUEST_20150317_000776	(There is a clay tablet that looks rather new.)	만든 지 얼마 안된 점토판을 발견했다.				도자기
QUEST_20150317_000777	(There is a clay tablet with writing on it.)	무언가 쓰여져 있는 점토판을 발견했다.				도자기
QUEST_20150317_000778	(The clay tablet looks really old but it can be read.)	아주 오래되어 보이는 점토판이지만 읽을 수 있을 것 같다.				도자기
QUEST_20150317_000779	(Found a very old clay tablet.)	아주 오래되어 보이는 점토판을 발견했다.				도자기
QUEST_20150317_000780	(There is nothing.)	아무것도 없다.				도자기
QUEST_20150317_000781	(Seems like you might break the pot if you mishandle it.)	도자기를 잘못 건드렸다간 깨뜨릴 것 같다.				도자기
QUEST_20150317_000782	(Empty.)	비어있다.				도자기
QUEST_20150317_000783	(A bug came out.)	벌레가 나왔다.				도자기
QUEST_20150317_000784	(A half-eaten potato came out.)	먹다 버린 감자가 나왔다. 				도자기
QUEST_20150317_000785	(A clay tablet came out, but it's too worn out to be read.)	점토판이 나왔지만, 읽을 수 없을 정도로 닳아있다.				도자기
QUEST_20150317_000786	Importance of Rest	휴식의 중요성				
QUEST_20150317_000787	Young men nowadays are so restless. {nl}They try to do everything while standing up.	요즘 젊은이들은 정말 한숨만 나온다.{nl}요즘 젊은이들은 모든 것을 다 서서 해결하려고 든다.{nl}				휴식의 중요성
QUEST_20150317_000788	Whether it be making weapons, making potions, or even cooking, they try to do it while standing. {nl}You must calm yourself and sit in a comfortable position.	무기를 만들거나, 물약을 만든다거나, 심지어 요리까지도 전부 다 서서 하려고 한다.{nl}일단 진정하고 편안히, 쉬는 자세로 앉아야한다. {nl}				휴식의 중요성
QUEST_20150317_000789	Sit down and prepare all the tools and materials you need. {nl}Remember that creation comes after preparations.	앉아서 필요한 모든 도구들을 준비하고 차분히 재료를 배치하라{nl}만드는건 그 다음임을 기억해야 한다.				휴식의 중요성
QUEST_20150317_000790	Goddess Austeja	아우스테야 여신				
QUEST_20150317_000791	Thank you again in the name of the goddess. {nl}Now I will follow the stars in search of Goddess Ausrine.	여신의 이름으로 다시 한 번 감사드립니다.{nl}저는 이제부터 벌들을 따라 아우슈리네 여신을 찾으려고 합니다.{nl}				
QUEST_20150317_000792	It may be better for me to just guard the seal. {nl}But I believe finding all my lost sisters will be the solution to all of this.	어쩌면 봉인을 지키고 있는 것이 나을지도 모르겠습니다만.{nl}사라진 자매들을 찾는 것이 이 모든 일의 해결책이라 믿고 있습니다.{nl}				여신 아우스테야
QUEST_20150317_000793	I wish you well... {nl}And may you and this land be blessed. 	부디 건강하길 바라며.. {nl}당신과, 이 땅에 축복을 기원합니다.				여신 아우스테야
QUEST_20150317_000794	Right. I think so too. {nl}The monsters are definitely preying on our honey. {nl}But it is better to have evidence on hand, so bring a piece of beehive {nl}from Saltus Bee Farm.	맞네. 나도 같은 생각이야.{nl}몬스터들이 우리의 꿀을 노리는 건 틀림 없네.{nl}하지만 증거는 확실할 수록 좋으니 먼저 살투스 양봉장에서 벌통 조각을 가져 오게.				
QUEST_20150317_000795	Coward	겁쟁이 청년				
QUEST_20150317_000796	I'm called a coward but I can't do anything. I'm really scared.	겁쟁이라고 불리기도 하지만 어쩔 수 없어요.{nl}무서운건 무서운거니까요.				
QUEST_20150317_000797	I see, you're the one the bees have been whispering about. {nl}I am Austeja, the goddess of destiny.	벌들이 속삭이던 분이 당신이군요.{nl}저는 인연의 여신 아우스테야입니다.{nl}				여신 아우스테야
QUEST_20150317_000798	The seal of this farmland has stabilized, thanks to you. {nl}But the other Revelators have lost themselves due to the evil force flowing from the Spring Light Woods.	당신 덕분에 이 흔들리는 경작지의 봉인은 안정되었습니다만.{nl}다른 계시자들이 봄볕나무 숲의 봉인에서 새어나온 사악한 기운에 의해 자아를 잃어버렸습니다.{nl}				
QUEST_20150317_000799	I will be using all of my powers to prevent this from happening any more... {nl}Thus, I cannot move away from here, let alone save them.	하지만 전 봉인이 더 이상 벌어지지 않도록 모든 힘을 쏟고 있기에..{nl}그들을 구하기는 커녕 함부로 나설 수도 없는 상태입니다.{nl}				여신 아우스테야
QUEST_20150317_000800	Please save them and the Spring Light Woods.	그러니.. 그들과 봄볕나무 숲을 부탁합니다.				여신 아우스테야
QUEST_20150317_000801	Investigation Unit	조사단원				
QUEST_20150317_000802	Why have so many more monsters appeared?	대체 몬스터가 왜 이렇게 늘어난 걸까?				
QUEST_20150317_000803	The monsters have ruined the entire harvest.	몬스터들 때문에 농사고 뭐고 다 망해버렸어.				
QUEST_20150317_000804	As you may already know, our kingdom has five major goddesses and other goddesses who assist them. {nl}But nobody knows where all of them are now.	자네도 알겠지만, 우리 왕국은 다섯 분의 여신과 그분들을 보필하는 많은 여신들이 계시지.{nl}하지만 지금은 모두 어디 계신지 아무도 몰라.				걱정 많은 부인
QUEST_20150317_000805	Flower Shop Lady	꽃 파는 아주머니				
QUEST_20150317_000806	People don't buy flowers anymore. {nl}The only flowers they buy are the ones to offer for the goddesses' return. {nl}It's really depressing in many ways.	요즘은 꽃을 잘 안 사가.{nl}그나마도 여신께서 돌아오길 바라는 뜻으로 바치는 꽃만 팔린다우.{nl}꽃을 파는 나도 우울할 지경이야..				꽃 파는 아주머니
QUEST_20150317_000807	I hope Klaipeda becomes lively like it used to be... {nl}With the fragrance of flowers in the air and people dancing in spring to worship Goddess Zemyna, {nl}the goddess of the Earth...	클라페다가 예전처럼 다시 활기를 되찾았으면 좋겠어..{nl}꽃향기가 가득하고, 사람들은 대지의 여신이신 제미나 여신께 바치는 봄의 춤을 추고..				꽃 파는 아주머니
QUEST_20150317_000808	Warning	경고문				
QUEST_20150317_000809	Beware of Leaf Bugs! They are different from Beetles. {nl}It is hard to fight them when they come in flocks so be careful. 	전방 잎방개 주의!{nl}물방개와는 다릅니다. {nl}여러마리가 덤벼들면 상대하기 어려우니 주의하세요.				경고문
QUEST_20150317_000810	Notice: Large Kepa is not an onion!{nl}Wearing goggles is useless against Large Kepa. {nl}Watch out for powerful attacks that shake the ground.	대형 케파 주의 : 양파 아님!!{nl}대형 케파는 물안경을 써도 소용없습니다.{nl}지축을 흔드는 강력한 공격을 조심하세요.{nl}				경고문
QUEST_20150317_000811	Please worship the Goddess Statue with a pious mind. You will grow stronger with {nl}the Goddess Zemyna's power, blessed by the Overseer of the Earth herself.	경건한 마음으로 여신상에 경배드리십시오.{nl}대지의 주관자이신 제미나 여신의 권능으로 그대를 더욱 강하게 하리니.{nl}				알림판
QUEST_20150317_000812	The Statue of Goddess Zemyna lies at the end of this road.	제미나 여신상은 이 길의 끝에 있습니다.				알림판
QUEST_20150317_000813	Warning! Hanaming-infested area. {nl}Do not be fooled by their cute appearance. {nl}They attack in groups and...{nl}(Red marks are covering the rest.)	경고! 하나밍 출현지역. {nl}귀여운 얼굴에 속지 마십시오.{nl}무리를 지어 공격하..{nl}(시뻘건 꽃물 비슷한 것이 묻어 글씨가 잘 보이지 않는다.)				경고문
