ETC_20150317_000001	ケッピー
ETC_20150317_002706	アイテム登録を取消しますか？
ETC_20150317_002707	マーケットアイテムの取消に成功しました。アイテム受取箱を確認してください。
ETC_20150317_002708	着用中のアイテムは登録できません。
ETC_20150317_002709	非公開
ETC_20150317_002710	購入確定
ETC_20150317_002711	価格低い順
ETC_20150317_002712	価格高い順
ETC_20150317_002713	最新登録順
ETC_20150317_002714	価格を1以上入力してください。
ETC_20150317_002715	消耗アイテムがあるスキルのみ可能です。
ETC_20150317_002716	どいてください！急いで石を運ばなければなりません。
ETC_20150317_002717	出血の矢
ETC_20150317_002718	貫通の矢
ETC_20150317_002719	爆発の矢
ETC_20150317_002720	[製造可能]
ETC_20150317_002721	スタミナ
ETC_20150317_002722	攻撃力
ETC_20150317_002723	攻撃速度
ETC_20150317_002724	クリティカル発生
ETC_20150317_002725	耐久度
ETC_20150317_002726	スプラッシュ
ETC_20150317_002727	命中
ETC_20150317_002728	クリティカル抵抗
ETC_20150317_002729	スプラッシュ防御
ETC_20150317_002730	知能
ETC_20150317_002731	精神
ETC_20150317_002732	スキル攻撃力
ETC_20150317_002733	魔法抵抗力
ETC_20150317_002734	盾攻撃力
ETC_20150317_002735	リム攻撃力
ETC_20150317_002736	魔法攻撃力
ETC_20150317_002737	魔法防御力
ETC_20150317_002738	着用時追加スロット作成
ETC_20150317_002739	性
ETC_20150317_002740	最大ソケット
ETC_20150317_002741	商店に売る
ETC_20150317_002742	ユーザーと取引
ETC_20150317_002743	強化潜在力
ETC_20150317_002744	商店売却価格
ETC_20150317_002745	着用レベル
ETC_20150317_002746	着用職業
ETC_20150317_002747	突系
ETC_20150317_002748	斬系
ETC_20150317_002749	打系
ETC_20150317_002750	範囲アップ
ETC_20150317_002751	斬系範囲アップ
ETC_20150317_002752	攻撃範囲
ETC_20150317_002753	攻撃角度
ETC_20150317_002754	ブロック率
ETC_20150317_002755	連打
ETC_20150317_002756	後方攻撃範囲
ETC_20150317_002757	特定スキル使用
ETC_20150317_002758	可能
ETC_20150317_002759	不可能
ETC_20150317_002760	クリティカル攻撃力
ETC_20150317_002761	クリティカル防御力
ETC_20150317_002762	取引可能
ETC_20150317_002763	取引不可
ETC_20150317_002764	ポーション回復量
ETC_20150317_002765	SP回復力
ETC_20150317_002766	販売不可
ETC_20150317_002767	炎属性攻撃力
ETC_20150317_002768	氷属性攻撃力
ETC_20150317_002769	毒属性攻撃力
ETC_20150317_002770	聖属性攻撃力
ETC_20150317_002771	闇属性攻撃力
ETC_20150317_002772	移動速度
ETC_20150317_002773	HP回復力
ETC_20150317_002774	植物型対象攻撃力
ETC_20150317_002775	野獣型対象攻撃力
ETC_20150317_002776	悪魔型対象攻撃力
ETC_20150317_002777	変異型対象攻撃力
ETC_20150317_002778	風属性攻撃力
ETC_20150317_002779	炎属性抵抗力
ETC_20150317_002780	氷属性抵抗力
ETC_20150317_002781	毒属性抵抗力
ETC_20150317_002782	雷属性抵抗力
ETC_20150317_002783	聖属性抵抗力
ETC_20150317_002784	闇属性抵抗力
ETC_20150317_002785	広域攻撃比率
ETC_20150317_002786	広域防御比率
ETC_20150317_002787	攻撃時、2%の確率で追加ダメージ+300
ETC_20150317_002788	被撃時、3%の確率でHP20%の持続ダメージ
ETC_20150317_002789	魔法被撃時、4%の確率で30秒間全ての抵抗+100
ETC_20150317_002790	雷属性攻撃力
ETC_20150317_002791	ノックバックパワー
ETC_20150317_002792	小型対象攻撃力
ETC_20150317_002793	中型対象攻撃力
ETC_20150317_002794	大型対象攻撃力
ETC_20150317_002795	ブロック
ETC_20150317_002796	ブロック貫通
ETC_20150317_002797	クロース防御対象攻撃力
ETC_20150317_002798	レザー防御対象攻撃力
ETC_20150317_002799	プレート防御対象攻撃力
ETC_20150317_002800	アストラル防御対象攻撃力
ETC_20150317_002801	魔法貫通
ETC_20150317_002802	アイテム経験値
ETC_20150317_002803	発射距離
ETC_20150317_002804	速度
ETC_20150317_002805	昆虫型対象攻撃力
ETC_20150317_002806	地属性攻撃力
ETC_20150317_002807	地属性抵抗力
ETC_20150317_002808	マウント時の物理攻撃力
ETC_20150317_002809	マウント時の魔法攻撃力
ETC_20150317_002810	突系防御力
ETC_20150317_002811	斬系防御力
ETC_20150317_002812	打系防御力
ETC_20150317_002813	持ち運べる重さ
ETC_20150317_002814	とても簡単
ETC_20150317_002815	簡単
ETC_20150317_002816	普通
ETC_20150317_002817	難しい
ETC_20150317_002818	とても難しい
ETC_20150317_002819	{s22}{ol}次のクエスト進行レベル:{Auto_1}
ETC_20150317_002820	地域 : 
ETC_20150317_002821	{@st45w3}{s18}{Auto_1} {Auto_2}個{/}
ETC_20150317_002822	{@st41}受け取る報酬 : 
ETC_20150317_002823	{@st64}NPCに近づいて
ETC_20150317_002824	スペースバー
ETC_20150317_002825	を押し、会話してみましょう！
ETC_20150317_002826	クエストを放棄します。
ETC_20150317_002827	放棄
ETC_20150317_002828	完了地点へワープ
ETC_20150317_002829	目標 : 
ETC_20150317_002830	ソードマン系
ETC_20150317_002831	ウィザード系
ETC_20150317_002832	アーチャー系
ETC_20150317_002833	クレリック系
ETC_20150317_002834	ソーサラー系
ETC_20150317_002835	人間
ETC_20150317_002836	悪魔型
ETC_20150317_002837	植物型
ETC_20150317_002838	野獣型
ETC_20150317_002839	変異型
ETC_20150317_002840	オブジェクト
ETC_20150317_002841	昆虫型
ETC_20150317_002842	クロース
ETC_20150317_002843	レザー
ETC_20150317_002844	プレート
ETC_20150317_002845	チェーン
ETC_20150317_002846	アストラル
ETC_20150317_002847	すでに誰かの傭兵です。
ETC_20150317_002848	傭兵のレベルがキャラクターレベルよりも高いです。
ETC_20150317_002849	傭兵を雇用しました。
ETC_20150317_002850	傭兵を解雇しました。
ETC_20150317_002851	すでに雇用した傭兵がいます。
ETC_20150317_002852	バラックのテーマが変更されました。
ETC_20150317_002853	チーム名の設定に成功しました。
ETC_20150317_002854	チーム名の設定に失敗しました。
ETC_20150317_002855	まずチーム名を設定してください。チーム名は他のプレイヤーに表示される名前です。
ETC_20150317_002856	このチーム名はすでに使われています。
ETC_20150317_002857	コレクション効果
ETC_20150317_002858	獲得リスト
ETC_20150317_002859	全体リスト
ETC_20150317_002860	すでに持っているコレクションです。
ETC_20150317_002861	コレクション
ETC_20150317_002862	コレクションが登録されました。
ETC_20150317_002863	NPCを通じてのみ登録可能です。
ETC_20150317_002864	{Auto_1}から{Auto_2}個獲得
ETC_20150317_002865	全体探索率
ETC_20150317_002866	探索率
ETC_20150317_002867	クエストクリア{Auto_1}個
ETC_20150317_002868	出会ったNPC {Auto_1}名
ETC_20150317_002869	{Category}点数
ETC_20150317_002870	順位
ETC_20150317_002871	冒険指数
ETC_20150317_002872	地域探索
ETC_20150317_002873	獲得したコレクション{Auto_1}
ETC_20150317_002874	獲得した業績 {Auto_1}
ETC_20150317_002875	クリアミッション {Auto_1}
ETC_20150317_002876	冒険ランキング
ETC_20150317_002877	完成したコレクション{Auto_1}
ETC_20150317_002878	その他
ETC_20150317_002879	セットアイテム
ETC_20150317_002880	獲得率
ETC_20150317_002881	獲得点数
ETC_20150317_002882	ボス
ETC_20150317_002883	日付
ETC_20150317_002884	クリックするとアイテムページへ移動します。
ETC_20150317_002885	少し前
ETC_20150317_002886	ヘルプ
ETC_20150317_002887	フレンド申請を送るチーム名を入力してください
ETC_20150317_002888	すでにフレンドリストに登録されています。
ETC_20150317_002889	新しいフレンド申請があります。
ETC_20150317_002890	フレンド申請されたリスト
ETC_20150317_002891	フレンド申請したリスト
ETC_20150317_002892	フレンド申請を拒否されたリスト
ETC_20150317_002893	ToSに加入したフレンド
ETC_20150317_002894	ToSをやらないフレンド
ETC_20150317_002895	知り合いかもしれない人
ETC_20150317_002896	一緒にいた
ETC_20150317_002897	PTを組んだ
ETC_20150317_002898	取引した
ETC_20150317_002899	ブロックリスト
ETC_20150317_002900	一緒に{Count}回プレイした仲
ETC_20150317_002901	一緒に{Count}回PTした仲
ETC_20150317_002902	取引を{Count}回した仲
ETC_20150317_002903	すでにブロックリストにいます。
ETC_20150317_002904	ブロックするチーム名を入力してください
ETC_20150317_002905	グループ名が長すぎます。
ETC_20150317_002906	メモの内容が長すぎます。
ETC_20150317_002907	メモ設定
ETC_20150317_002908	グループ設定▶
ETC_20150317_002909	メモ入力
ETC_20150317_002910	グループ設定
ETC_20150317_002911	フレンド申請
ETC_20150317_002912	フレンド申請を送りました。
ETC_20150317_002913	新しいグループ
ETC_20150317_002914	ブロック
ETC_20150317_002915	グループ削除
ETC_20150317_002916	グループ名変更
ETC_20150317_002917	本当に削除しますか？
ETC_20150317_002918	ブロック解除
ETC_20150317_002919	フレンド申請が伝わりませんでした。
ETC_20150317_002920	契約金
ETC_20150317_002921	詳細情報
ETC_20150317_002922	位置
ETC_20150317_002923	ランク
ETC_20150317_002924	{From}さんから取引申請が来ました。
ETC_20150317_002925	取引申請が拒否されました。
ETC_20150317_002926	取引が取消されました。
ETC_20150317_002927	取引が成立しました。
ETC_20150317_002928	{To}さんに取引申請をしました。
ETC_20150317_002929	指定したセーブポイントがありません。
ETC_20150317_002930	残りの耐久度が30%未満のアイテムがあります
ETC_20150317_002931	残りの耐久度が0のアイテムがあります
ETC_20150317_002932	装着中のアイテムは消費できません。
ETC_20150317_002933	強化したアイテムは消費できません。
ETC_20150317_002934	強化したアイテムを消費します。進行しますか？
ETC_20150317_002935	間もなくフィールドボスが登場します。
ETC_20150317_002936	準備中の機能です。
ETC_20150317_002937	{@st59}ボタンをクリックするとPTメンバーに表示されます。
ETC_20150317_002938	{@st59}PTメンバーに現在表示されているクエストです。
ETC_20150317_002939	{Name}のクエスト
ETC_20150317_002940	検索中…
ETC_20150317_002941	相手が見つかりました。
ETC_20150317_002942	入場待機
ETC_20150317_002943	移動中
ETC_20150317_002944	ゲーム中
ETC_20150317_002945	PVP商店
ETC_20150317_002946	大きさ
ETC_20150317_002947	防御の種類
ETC_20150317_002948	元素属性
ETC_20150317_002949	等級
ETC_20150317_002950	攻撃属性
ETC_20150317_002951	有効攻撃タイプ
ETC_20150317_002952	移動タイプ
ETC_20150317_002953	小型
ETC_20150317_002954	中型
ETC_20150317_002955	大型
ETC_20150317_002956	最大型
ETC_20150317_002957	幽霊
ETC_20150317_002958	無属性
ETC_20150317_002959	炎属性抵抗力
ETC_20150317_002960	氷
ETC_20150317_002961	雷
ETC_20150317_002962	毒
ETC_20150317_002963	闇
ETC_20150317_002964	聖
ETC_20150317_002965	地
ETC_20150317_002966	無相性
ETC_20150317_002967	斬
ETC_20150317_002968	突
ETC_20150317_002969	打
ETC_20150317_002970	魔
ETC_20150317_002971	物理
ETC_20150317_002972	遠距離
ETC_20150317_002973	固定型
ETC_20150317_002974	地上型
ETC_20150317_002975	飛行型
ETC_20150317_002976	エリート
ETC_20150317_002977	ログアウト : {Year}年前
ETC_20150317_002978	ログアウト : {Month}ヵ月前
ETC_20150317_002979	ログアウト : {Day}日前
ETC_20150317_002980	ログアウト : {Hour}時間前
ETC_20150317_002981	ログアウト : {Min}分前
ETC_20150317_002982	ログアウト : たった今
ETC_20150317_002983	臨時空間
ETC_20150317_002984	体力が{Auto_1}回復しました
ETC_20150317_002985	精神力が{Auto_1}回復しました。
ETC_20150317_002986	参加
ETC_20150317_002987	…ついて来てる!!?!?
ETC_20150317_002988	種族は私と似てる奴！
ETC_20150317_002989	誰が勝つかな～
ETC_20150317_002990	私の好きなランダムゲーム+_+
ETC_20150317_002991	うわ～っ
ETC_20150317_002992	ナイス！終わった
ETC_20150317_002993	GREAT FEVER!! 攻撃力と経験値アップが適用されます！
ETC_20150317_002994	FEVER TIME!! 攻撃力アップが適用されます！
ETC_20150317_002995	の箱
ETC_20150317_002996	満室です
ETC_20150317_002997	強化に成功しました。
ETC_20150317_002998	強化に失敗して初期化されました。
ETC_20150317_002999	報酬 
ETC_20150317_003000	を獲得しました！
ETC_20150317_003001	調合中…
ETC_20150317_003002	使う
ETC_20150317_003003	すでに獲得 : 
ETC_20150317_003004	シャウレイ西の森クエスト進行を完了しなければなりません。
ETC_20150317_003005	考古学者の証を発見しました！
ETC_20150317_003006	何も発見できませんでした。
ETC_20150317_003007	リディア・シャッフェンの碑石の欠片を合わせました。{nl}もう一度碑石を読んでみましょう。
ETC_20150317_003008	碑石の欠片が足りません。
ETC_20150317_003009	クエスト完了状態！
ETC_20150317_003010	箱を開いてみようとしたが、開かなかった。
ETC_20150317_003011	氷鬼中使用可能
ETC_20150317_003012	鬼は使用不可
ETC_20150317_003013	現在氷状態
ETC_20150317_003014	シャウレイ西の森で使用可能
ETC_20150317_003015	周辺に[野獣型]系モンスターがいません！
ETC_20150317_003016	燃やす
ETC_20150317_003017	使用中
ETC_20150317_003018	一番目の反応 : 移動速度ダウン
ETC_20150317_003019	二番目の反応 : 中毒
ETC_20150317_003020	三番目の反応 : 気絶
ETC_20150317_003021	特別な反応なし
ETC_20150317_003022	設置中
ETC_20150317_003023	特に効果なし
ETC_20150317_003024	解放された、閉鎖された水晶鉱山でのみ使用可能
ETC_20150317_003025	 : スタン状態になりました！退治してください。
ETC_20150317_003026	Lantern_mushroom:ジビュグリバー:50/Lantern_mushroom:ジビュグリバー:50/Lantern_mushroom:ジビュグリバー:50/Lantern_mushroom_Big:ビッググリバー:51
ETC_20150317_003027	襲いかかるマッシュム退治
ETC_20150317_003028	太陽のエキス配置完了！
ETC_20150317_003029	祈念中…
ETC_20150317_003030	あなたの祈りはもう届いています！
ETC_20150317_003031	すでにシールドを使用した地域です！
ETC_20150317_003032	探索中…
ETC_20150317_003033	目標までの距離 : 
ETC_20150317_003034	吹き込んでいます…
ETC_20150317_003035	金床が装備の種類と一致しません。
ETC_20150317_003036	金床の等級が低すぎます。
ETC_20150317_003037	さんが[ 
ETC_20150317_003038	 ]を持っています！
ETC_20150317_003039	まだこの地域を通過できません！
ETC_20150317_003040	ボムフラワー収集
ETC_20150317_003041	ボムフラワーを獲得しました！
ETC_20150317_003042	ボムフラワーをすでに持っています！
ETC_20150317_003043	油まみれの導火線収集
ETC_20150317_003044	を獲得しました！
ETC_20150317_003045	導火線をすでに持っています！
ETC_20150317_003046	材料を渡しています…
ETC_20150317_003047	爆弾を収集しています…
ETC_20150317_003048	峡谷爆弾(一回用)を獲得しました！
ETC_20150317_003049	すでにアイテムを持っています
ETC_20150317_003050	峡谷爆弾を獲得しました！
ETC_20150317_003051	箱がロックされています！
ETC_20150317_003052	の
ETC_20150317_003053	シルバー
ETC_20150317_003054	モンスター無しでアイテムドロップ
ETC_20150317_003055	該当スキルなし
ETC_20150317_003056	解除
ETC_20150317_003057	周辺モンスターを退治しないと前進できない
ETC_20150317_003058	 ArgStr1 に1番NPCStateを使用してはいけません。
ETC_20150317_003059	 ArgStr1 にないクエストClassName が入っています。
ETC_20150317_003060	吟遊詩人
ETC_20150317_003061	勝利か死か！
ETC_20150317_003062	クラペダ万歳！
ETC_20150317_003063	女神の加護は我らにあり！
ETC_20150317_003064	{/}{#FFFFFF}のHit Me{/}
ETC_20150317_003065	キロネックスプチが危険を感知して自爆します！
ETC_20150317_003066	私から離れてください！
ETC_20150317_003067	罪を作りたくない…。
ETC_20150317_003068	攻撃したくない！
ETC_20150317_003069	モンスターが私を操っています！
ETC_20150317_003070	いっそ私を殺してください！
ETC_20150317_003071	解放されたい…
ETC_20150317_003072	ありがとうございます…
ETC_20150317_003073	あなたのおかげです！ありがとうございます…
ETC_20150317_003074	私を女神様のところへ導いてくれるんですか？
ETC_20150317_003075	すごく怖いです…。
ETC_20150317_003076	ここはどこですか？
ETC_20150317_003077	私は一体…？
ETC_20150317_003078	向こうで女神が呼んでいます…。
ETC_20150317_003079	霊魂をフクロウの彫像のところへ導きました！
ETC_20150317_003080	憤怒する霊魂
ETC_20150317_003081	蘇った遺体
ETC_20150317_003082	霊魂が女神像のもとへ導かれました！
ETC_20150317_003083	製造に成功しました。
ETC_20150317_003084	アイテム製造まで残り{Auto_1}分{Auto_2}秒
ETC_20150317_003085	アイテム製造まで残り{Auto_1}秒
ETC_20150317_003086	製造に成功しました。
ETC_20150317_003087	アイテム製造まであと{Auto_1}回
ETC_20150317_003088	すでに作成済み
ETC_20150317_003089	セッションなし
ETC_20150317_003090	フレンドセッション01番が生成されました。
ETC_20150317_003091	あなたに会えて嬉しいです！
ETC_20150317_003092	あいつとはどこで合ったんですか？
ETC_20150317_003093	あれも一緒に行くんですか？
ETC_20150317_003094	私は絶対に！バセニン部隊に入りたいんです。
ETC_20150317_003095	私はやってみせます！
ETC_20150317_003096	どこで生まれたんですか？
ETC_20150317_003097	はい？
ETC_20150317_003098	不思議な縁ですね。
ETC_20150317_003099	落ちこぼれにはなりません！
ETC_20150317_003100	絶対にやり遂げましょう！
ETC_20150317_003101	面白い人ですね！
ETC_20150317_003102	あいつにも名前が必要じゃないですか？
ETC_20150317_003103	女神の加護を！
ETC_20150317_003104	バセニン部隊は指折りの部隊なんです。
ETC_20150317_003105	後ろは私に任せて！
ETC_20150317_003106	助けに来ました！
ETC_20150317_003107	そろそろ失礼します。
ETC_20150317_003108	氷鬼重複！
ETC_20150317_003109	すでに氷鬼動作中
ETC_20150317_003110	氷鬼参加人数不足
ETC_20150317_003111	PC参加者セッション付与
ETC_20150317_003112	氷鬼終了
ETC_20150317_003113	トレジャーゴブリン出現！
ETC_20150317_003114	抑制機が破壊されました。もう一度クエストを開始してください！
ETC_20150317_003115	の
ETC_20150317_003116	2階へ通じる碑石出現
ETC_20150317_003117	2階へ通じる碑石出現{nl}
ETC_20150317_003118	班長を守れ！
ETC_20150317_003119	あいつらを止めろ！
ETC_20150317_003120	助けて！
ETC_20150317_003121	どこから来たんだ？
ETC_20150317_003122	うわっ！
ETC_20150317_003123	モンスターが攻撃してくるから気をつけて。
ETC_20150317_003124	ここには攻撃性の強い植物が出現します。
ETC_20150317_003125	モンスターが近付いてきたら攻撃されるので、逃げてください。
ETC_20150317_003126	幸運を祈る。
ETC_20150317_003127	モンスターは怖くない。
ETC_20150317_003128	早く倒して休みたい。
ETC_20150317_003129	今日は嫌な予感がするんだ。
ETC_20150317_003130	あいつらには負けない。
ETC_20150317_003131	故郷に帰りたいな。
ETC_20150317_003132	あいつらに集中しないと。
ETC_20150317_003133	初期化関数
ETC_20150317_003134	ループ中
ETC_20150317_003135	owner_ssnがありません。
ETC_20150317_003136	親となるPCがありません。
ETC_20150317_003137	にSSN_OBJECT_STORAGEセッションが付与されませんでした！
ETC_20150317_003138	任務受諾
ETC_20150317_003139	会話終了
ETC_20150317_003140	即席商店で今すぐ取引可能
ETC_20150317_003141	鍵を開けています…
ETC_20150317_003142	空の箱
ETC_20150317_003143	/3退治必要
ETC_20150317_003144	契約の守護者出現！
ETC_20150317_003145	契約の守護者
ETC_20150317_003146	箱
ETC_20150317_003147	どうしたの？
ETC_20150317_003148	気にしない
ETC_20150317_003149	家に畑でも作ればいい
ETC_20150317_003150	離れる
ETC_20150317_003151	片思いではなかったの？
ETC_20150317_003152	慰める
ETC_20150317_003153	ダメだ
ETC_20150317_003154	追慕碑の写しを見せる
ETC_20150317_003155	道に迷った女性の霊魂と出会った話をする
ETC_20150317_003156	分かったと言って通り過ぎる
ETC_20150317_003157	無礼だにゃん！離せ、人間！
ETC_20150317_003158	にゃおん！
ETC_20150317_003159	グルル…!!
ETC_20150317_003160	一番可愛いのは大王の関門にいるにゃん。
ETC_20150317_003161	]を完了しないと通過できません。
ETC_20150317_003162	持ち主がいるかもしれないので、複写していく
ETC_20150317_003163	ゴブリンの群れを退治してください！
ETC_20150317_003164	9区域の浄化装置に水晶を載せれば降りることができます。
ETC_20150317_003165	スペクターを倒せば降りることができます。
ETC_20150317_003166	ゴブリンの魔石が必要です
ETC_20150317_003167	ダンジョンゴブリンの魔石
ETC_20150317_003168	個供養
ETC_20150317_003169	ダンジョンゴブリンの魔石が必要
ETC_20150317_003170	あげる
ETC_20150317_003171	ウロウロしてる
ETC_20150317_003172	ウロウロしていない
ETC_20150317_003173	嫌な予感がするので写していく
ETC_20150317_003174	探してみよう
ETC_20150317_003175	大したことなさそうだから止めよう
ETC_20150317_003176	調べてみよう
ETC_20150317_003177	手を入れてみよう
ETC_20150317_003178	もう一度手を入れてみよう
ETC_20150317_003179	痛いから止めよう
ETC_20150317_003180	怖いから止めよう
ETC_20150317_003181	持って行く
ETC_20150317_003182	食べる
ETC_20150317_003183	食べてみる
ETC_20150317_003184	絶対食べてみる
ETC_20150317_003185	カーティン森の驚異
ETC_20150317_003186	六つの水晶の力が足りません。
ETC_20150317_003187	ロックゴブリンマイナー
ETC_20150317_003188	ピックゴブリンマイナー
ETC_20150317_003189	愚かな人間の臭いがするぞ…
ETC_20150317_003190	騎士ウスカ
ETC_20150317_003191	兵士
ETC_20150317_003192	詳しい説明は省略する。
ETC_20150317_003193	ご苦労さまでした！
ETC_20150317_003194	水晶鉱山第2鉱区の2階へ移動
ETC_20150317_003195	調査中…
ETC_20150317_003196	採取中…
ETC_20150317_003197	ゴブリン族の旗
ETC_20150317_003198	ゴブリン族の旗を破壊してください！
ETC_20150317_003199	爆弾設置中…
ETC_20150317_003200	ゴブリン族の秘密通路
ETC_20150317_003201	ゴブリンアタッカーを倒して秘密通路に爆弾設置
ETC_20150317_003202	封印石を破壊しようとするモンスターを退治しよう！
ETC_20150317_003203	ゴブリンアーチャーアタッカー
ETC_20150317_003204	ゴブリンアタッカー
ETC_20150317_003205	女神のもとへ急がなければ。
ETC_20150317_003206	モンスターがどうしてこんなに増えたのでしょうか？
ETC_20150317_003207	助けて！
ETC_20150317_003208	ここから動けないんです！
ETC_20150317_003209	これを破壊してください！
ETC_20150317_003210	炎の蒸気収集
ETC_20150317_003211	グリタの幻影
ETC_20150317_003212	です。気を付けてください！
ETC_20150317_003213	さん、危ない！
ETC_20150317_003214	何ですって？
ETC_20150317_003215	今雑談してる暇はありません！
ETC_20150317_003216	急がなければ。
ETC_20150317_003217	さん…。
ETC_20150317_003218	ダメージを受けた。
ETC_20150317_003219	死んだ。
ETC_20150317_003220	NPCをクリック
ETC_20150317_003221	トリガー範囲内
ETC_20150317_003222	トリガー範囲外
ETC_20150317_003223	アイテムを手に入れた。
ETC_20150317_003224	アイテムを捨てたか、奪われた。
ETC_20150317_003225	アイテムを使用した。
ETC_20150317_003226	アイテムを装着した。
ETC_20150317_003227	アイテムを解除した。
ETC_20150317_003228	スキルを使用した。
ETC_20150317_003229	ゾーン内
ETC_20150317_003230	ゾーン外
ETC_20150317_003231	バフ発動
ETC_20150317_003232	バフ解除
ETC_20150317_003233	全バフ解除
ETC_20150317_003234	BroadMSG受信
ETC_20150317_003235	UIイベント受信
ETC_20150317_003236	呪文
ETC_20150317_003237	祝福の儀式
ETC_20150317_003238	儀式に必要な供物が足りません。
ETC_20150317_003239	[忘れられた聖地]の前で
ETC_20150317_003240	を押すと{nl}祝福の儀式が行われます。
ETC_20150317_003241	が必要！{nl}近くにいるフクロウの彫像からもらえます。
ETC_20150317_003242	器を持っていれば、無事に関門を通過できます。
ETC_20150317_003243	関門が閉ざされています。{nl}フクロウの彫像の協力があえれば通過できるかもしれません。
ETC_20150317_003244	回収中…
ETC_20150317_003245	偵察部隊の痕跡を見つけました。
ETC_20150317_003246	魔法祭壇
ETC_20150317_003247	おとなしいフクロウの彫像
ETC_20150317_003248	ザーリアス・トラフリー
ETC_20150317_003249	霊魂を慰めていたらモンスターが襲ってきました！
ETC_20150317_003250	フクロウの彫像
ETC_20150317_003251	堕落したフクロウの彫像
ETC_20150317_003252	凶暴な亡霊
ETC_20150317_003253	グルル…グルル…
ETC_20150317_003254	枯れた木の枝を探しています…
ETC_20150317_003255	棘の森の枯れた木の枝獲得！
ETC_20150317_003256	残った棘の森の枯れた木の枝なし
ETC_20150317_003257	ソーンボール
ETC_20150317_003258	痕跡を集める
ETC_20150317_003259	記憶の破片で起こしています…
ETC_20150317_003260	マッシュムv13
ETC_20150317_003261	モンスター退治！
ETC_20150317_003262	活性石の効果が非活性状態です！
ETC_20150317_003263	活性石の効果が非活性状態です！{nl}王陵の抑制機の使用説明書のところへ戻れば、もう一度活性バフを受けることができます。
ETC_20150317_003264	気を集めています…
ETC_20150317_003265	除去中…
ETC_20150317_003266	目覚めたボウクトロン
ETC_20150317_003267	起こしています…
ETC_20150317_003268	結界を解除しています…
ETC_20150317_003269	土兵の鍵がありません
ETC_20150317_003270	土兵を供養しました！
ETC_20150317_003271	動力源を捧げています…
ETC_20150317_003272	動力源を捧げました！
ETC_20150317_003273	動力源が足りません。
ETC_20150317_003274	不吉な霊魂退治
ETC_20150317_003275	守護装置をオフにします…
ETC_20150317_003276	土兵守護者の装置をオフにしました。
ETC_20150317_003277	この土兵守護者の装置はオフになっています。
ETC_20150317_003278	レバー作動
ETC_20150317_003279	王陵2階のボス退治
ETC_20150317_003280	再作動中
ETC_20150317_003281	凝縮した魔力源収集中…
ETC_20150317_003282	ファントムを倒さなければなりません。
ETC_20150317_003283	忠実な臣下
ETC_20150317_003284	忠実な部下を束縛から解いてください。
ETC_20150317_003285	熊将軍を倒してください！
ETC_20150317_003286	罠を使って王陵の戦士を誘い出し、倒してください！
ETC_20150317_003287	あなたに許された道ではありません.
ETC_20150317_003288	召喚されたモンスターを退治してください！
ETC_20150317_003289	モンスターを倒してください！
ETC_20150317_003290	メダキアを退治してください！
ETC_20150317_003291	霊魂充填中…
ETC_20150317_003292	魔力の源泉を注いでいます…
ETC_20150317_003293	壺いっぱいに満たしました！
ETC_20150317_003294	王陵の戦士
ETC_20150317_003295	上級電気衝撃機
ETC_20150317_003296	回復装置
ETC_20150317_003297	下級電気衝撃機
ETC_20150317_003298	抑制機
ETC_20150317_003299	魔法装置を使用してメダキアを退治してください！
ETC_20150317_003300	抑制機が破壊されてはなりません！
ETC_20150317_003301	王陵ソードマンを退治してください！
ETC_20150317_003302	モンスターを退治してください！
ETC_20150317_003303	レキシファーとモンスターを退治してください！
ETC_20150317_003304	]を完了すれば通過可能
ETC_20150317_003305	心に染みる歌なので、写していこう。
ETC_20150317_003306	輝く泉を発見しました。
ETC_20150317_003307	立てています…。
ETC_20150317_003308	道を塞ぐモンスターのせいで通れません。{nl}
ETC_20150317_003309	のところに戻ってください！
ETC_20150317_003310	神聖な力が宿った木の欠片
ETC_20150317_003311	個を獲得しました
ETC_20150317_003312	霊魂のエキスを獲得しました
ETC_20150317_003313	私にもう一度死んでくれって言うのか！
ETC_20150317_003314	ふざけるな！
ETC_20150317_003315	血も涙も無い奴め！
ETC_20150317_003316	お前も私を殺した奴らの同類だ！
ETC_20150317_003317	分かりました…きっと役立ててくださいね…。
ETC_20150317_003318	あなたを待っていました…。
ETC_20150317_003319	説得中…
ETC_20150317_003320	霊魂が敵と見なしてきました！{nl}強制的に霊魂のエキスを奪ってください！
ETC_20150317_003321	キロネックスプチを獲得しました。
ETC_20150317_003322	失くした荷物を獲得しました。
ETC_20150317_003323	ありがとうございます、お優しい方…。
ETC_20150317_003324	書き取っています…
ETC_20150317_003325	巡礼者追慕碑の内容を書き取りました。
ETC_20150317_003326	ジビュバンシー
ETC_20150317_003327	グリナスブッシュスパイダー
ETC_20150317_003328	ルダスブッシュスパイダー
ETC_20150317_003329	隊長フクロウの頼みを遂行すれば通過可能
ETC_20150317_003330	良い歌なので、憶えておこう。
ETC_20150317_003331	メリナス上級ポクブー
ETC_20150317_003332	ビッグルダスミニグリバー
ETC_20150317_003333	スペクターを倒さなければなりません。
ETC_20150317_003334	[マッシュウォート退治]を完了すれば通過可能
ETC_20150317_003335	補給品を渡しています…。
ETC_20150317_003336	に補給品を届けました。
ETC_20150317_003337	補給袋回収中
ETC_20150317_003338	遺体回収中
ETC_20150317_003339	刺激的な香り採集中
ETC_20150317_003340	セッション有り
