ITEM_20150317_000001	なし_helmet
ITEM_20150317_001141	シルバープレートアーマー
ITEM_20150317_001142	ワイルドレザーグローブ
ITEM_20150317_001143	ヘビーブーツ
ITEM_20150317_001144	カプリアグローブ
ITEM_20150317_001145	追従者のレザーアーマー
ITEM_20150317_001146	マミーガストメイル
ITEM_20150317_001147	ヴェゾブーツ
ITEM_20150317_001148	ミエンブーツ
ITEM_20150317_001149	アコンハンズ
ITEM_20150317_001150	アコンが使用した手袋です。
ITEM_20150317_001151	ラヴァインピードブーツ
ITEM_20150317_001152	ラヴァインピードの毒を塗った長靴です。毒に対して強い耐性があります。
ITEM_20150317_001153	ネペンデスグローブ
ITEM_20150317_001154	ネペンデスの茎で作った手袋です。
ITEM_20150317_001155	シュナイムグリーブ
ITEM_20150317_001156	シュナイム破片を当てた靴です。
ITEM_20150317_001157	カプリサングローブ
ITEM_20150317_001158	このような珍しい魔法装備は、カプリサンの一族が強力な勢力の後援を受けているという疑惑を招いています。
ITEM_20150317_001159	カプリサンブーツ
ITEM_20150317_001160	履くだけで身体が軽くなる感じがします。
ITEM_20150317_001161	カプリサンパンツ
ITEM_20150317_001162	魔法防御力を試すため、試しに殴られてみるのはやめてください。
ITEM_20150317_001163	カプリサンアーマー
ITEM_20150317_001164	どんな素材で作られたか不明ですが、中々使えそうです。
ITEM_20150317_001165	ディオグローブ
ITEM_20150317_001166	ディオサンダル
ITEM_20150317_001167	ディオパンツ
ITEM_20150317_001168	ディオローブ
ITEM_20150317_001169	ディオレザーグローブ
ITEM_20150317_001170	ディオレザーブーツ
ITEM_20150317_001171	ディオレザーパンツ
ITEM_20150317_001172	ディオレザーアーマー
ITEM_20150317_001173	ディオチェーンガントレット
ITEM_20150317_001174	ディオチェーンブーツ
ITEM_20150317_001175	ディオチェーンパンツ
ITEM_20150317_001176	ディオチェーンメイル
ITEM_20150317_001177	トレシーグローブ
ITEM_20150317_001178	トレシーサンダル
ITEM_20150317_001179	トレシーパンツ
ITEM_20150317_001180	トレシーローブ
ITEM_20150317_001181	トレシーレザーグローブ
ITEM_20150317_001182	トレシーレザーブーツ
ITEM_20150317_001183	トレシーレザーパンツ
ITEM_20150317_001184	トレシーレザーアーマー
ITEM_20150317_001185	トレシーチェーングローブ
ITEM_20150317_001186	トレシーチェーンブーツ
ITEM_20150317_001187	トレシーチェーンパンツ
ITEM_20150317_001188	トレシーチェーンメイル
ITEM_20150317_001189	セスタスグローブ
ITEM_20150317_001190	セスタスサンダル
ITEM_20150317_001191	セスタスパンツ
ITEM_20150317_001192	セスタスローブ
ITEM_20150317_001193	セスタスレザーグローブ
ITEM_20150317_001194	セスタスレザーブーツ
ITEM_20150317_001195	セスタスレザーパンツ
ITEM_20150317_001196	セスタスレザーアーマー
ITEM_20150317_001197	セスタスチェーングローブ
ITEM_20150317_001198	セスタスチェーンブーツ
ITEM_20150317_001199	セスタスチェーンパンツ
ITEM_20150317_001200	セスタスチェーンメイル
ITEM_20150317_001201	ドラットグローブ
ITEM_20150317_001202	ドラットサンダル
ITEM_20150317_001203	ドラットパンツ
ITEM_20150317_001204	ドラットローブ
ITEM_20150317_001205	ドラットレザーグローブ
ITEM_20150317_001206	ドラットレザーブーツ
ITEM_20150317_001207	ドラットレザーパンツ
ITEM_20150317_001208	ドラットレザーアーマー
ITEM_20150317_001209	ドラットガントレット
ITEM_20150317_001210	ドラットグリーブ
ITEM_20150317_001211	ドラットプレートレギンス
ITEM_20150317_001212	ドラットプレートアーマー
ITEM_20150317_001213	アストングローブ
ITEM_20150317_001214	アストンサンダル
ITEM_20150317_001215	アストンパンツ
ITEM_20150317_001216	アストンローブ
ITEM_20150317_001217	アストンレザーグローブ
ITEM_20150317_001218	アストンレザーブーツ
ITEM_20150317_001219	アストンレザーパンツ
ITEM_20150317_001220	アストンレザーアーマー
ITEM_20150317_001221	アストンガントレット
ITEM_20150317_001222	アストングリーブ
ITEM_20150317_001223	アストンプレートレギンス
ITEM_20150317_001224	アストンプレートアーマー
ITEM_20150317_001225	デビイグローブ
ITEM_20150317_001226	デビイサンダル
ITEM_20150317_001227	デビイパンツ
ITEM_20150317_001228	デビイローブ
ITEM_20150317_001229	デビイレザーグローブ
ITEM_20150317_001230	デビイレザーブーツ
ITEM_20150317_001231	デビイレザーパンツ
ITEM_20150317_001232	デビイレザーアーマー
ITEM_20150317_001233	デビイガントレット
ITEM_20150317_001234	デビイグリーブ
ITEM_20150317_001235	デビイプレートレギンス
ITEM_20150317_001236	デビイプレートアーマー
ITEM_20150317_001237	プリマグローブ
ITEM_20150317_001238	プリマサンダル
ITEM_20150317_001239	プリマパンツ
ITEM_20150317_001240	プリマローブ
ITEM_20150317_001241	プリマレザーグローブ
ITEM_20150317_001242	プリマレザーブーツ
ITEM_20150317_001243	プリマレザーパンツ
ITEM_20150317_001244	プリマレザーアーマー
ITEM_20150317_001245	プリマガントレット
ITEM_20150317_001246	プリマグリーブ
ITEM_20150317_001247	プリマプレートレギンス
ITEM_20150317_001248	プリマプレートアーマー
ITEM_20150317_001249	トゥームグローブ
ITEM_20150317_001250	トゥームレザーグローブ
ITEM_20150317_001251	トゥームガントレット
ITEM_20150317_001252	ウォーカー
ITEM_20150317_001253	フォーマインアーマー
ITEM_20150317_001254	鉱員たちが数百年間積み重ねてきた多くの知恵と経験により生み出された制作方法で作られました。
ITEM_20150317_001255	リエナパンツ
ITEM_20150317_001256	リエナローブ
ITEM_20150317_001257	リエナレザーパンツ
ITEM_20150317_001258	リエナレザーアーマー
ITEM_20150317_001259	リエナプレートレギンス
ITEM_20150317_001260	リエナプレートアーマー
ITEM_20150317_001261	ゴブリンファイターガントレット
ITEM_20150317_001262	シールドクラッシャー
ITEM_20150317_001263	ヴァイングローブ
ITEM_20150317_001264	ヴァインブーツ
ITEM_20150317_001265	ヴァインパンツ
ITEM_20150317_001266	ヴァインローブ
ITEM_20150317_001267	セイントローブ
ITEM_20150317_001268	ソウルチェイサーグローブ
ITEM_20150317_001269	ソウルチェイサーブーツ
ITEM_20150317_001270	ソウルチェイサーパンツ
ITEM_20150317_001271	ソウルチェイサーアーマー
ITEM_20150317_001272	ボーンガントレット
ITEM_20150317_001273	ボーングリーブ
ITEM_20150317_001274	ボーンスカート
ITEM_20150317_001275	ボーンアーマー
ITEM_20150317_001276	シェードハンズ
ITEM_20150317_001277	シェードランナー
ITEM_20150317_001278	シェードスカート
ITEM_20150317_001279	シェードダンサー
ITEM_20150317_001280	ローカスレザーアーマー
ITEM_20150317_001281	ローカスメイル
ITEM_20150317_001282	ローカスローブ
ITEM_20150317_001283	ウィンドランナー
ITEM_20150317_001284	ジャカリエルハート
ITEM_20150317_001285	ヒドラトラウザー
ITEM_20150317_001286	バンシーベール
ITEM_20150317_001287	上半身[アストラル]
ITEM_20150317_001288	なし_Neck
ITEM_20150317_001289	マウス右ボタンをクリックして装着
ITEM_20150317_001290	HPネックレス
ITEM_20150317_001291	ネックレス
ITEM_20150317_001292	SPネックレス
ITEM_20150317_001293	STAネックレス
ITEM_20150317_001294	パントネックレス
ITEM_20150317_001295	骨ネックレス
ITEM_20150317_001296	ホグマのレザーネックレス
ITEM_20150317_001297	謎のお守り
ITEM_20150317_001298	防御力ネックレス
ITEM_20150317_001299	ノーヴィスネックレス
ITEM_20150317_001300	このような装備がこんなにも安いというのは初心者にとって何よりも嬉しいことです。
ITEM_20150317_001301	ゴブリンタリスマン
ITEM_20150317_001302	ゴブリンへの攻撃がたまに効かなかった理由です。
ITEM_20150317_001303	チュチュネックレス
ITEM_20150317_001304	チュチュの歯は時々ガチガチと音を立てながら、ささやき合っているという噂があります。事実はどうあれ、魔力が込められているに違いありません。
ITEM_20150317_001305	ウッドネックレス
ITEM_20150317_001306	物を持っている間には急に外さない方が良いです。
ITEM_20150317_001307	アイアンネックレス
ITEM_20150317_001308	軽くなった感じがするかもしれませんが、実際痩せたわけではありません。
ITEM_20150317_001309	スチールネックレス
ITEM_20150317_001310	戦闘では、小さな違いが生と死を分けます。このネックレスを着用して後悔するようなことはありません。
ITEM_20150317_001311	タリスマン
ITEM_20150317_001312	残念ながら勉強にはあまり役立ちません。
ITEM_20150317_001313	クラペダチェーン
ITEM_20150317_001314	このネックレスは着用者の霊魂から力を引き出します。
ITEM_20150317_001315	マイトフェディミアンチェーン
ITEM_20150317_001316	フェディミアンで生産される工芸品の名声は数百年の伝統を誇ります。他の都市の製品との違いを感じます。
ITEM_20150317_001317	デックスフェディミアンチェーン
ITEM_20150317_001318	ヘルスフェディミアンチェーン
ITEM_20150317_001319	インテルフェディミアンチェーン
ITEM_20150317_001320	マインドフェディミアンチェーン
ITEM_20150317_001321	ユコプスネックレス
ITEM_20150317_001322	着用者の魔力を向上させます。
ITEM_20150317_001323	ゴブリンネックレス
ITEM_20150317_001324	マジックペンダント
ITEM_20150317_001325	アイボリーペンダント
ITEM_20150317_001326	ルーンペンダント
ITEM_20150317_001327	シルバータリスマン
ITEM_20150317_001328	大聖堂の祝福を受けたネックレス。
ITEM_20150317_001329	怠惰のネックレス
ITEM_20150317_001330	憤怒のネックレス
ITEM_20150317_001331	虚偽のネックレス
ITEM_20150317_001332	ストリングネックレス
ITEM_20150317_001333	伝説によると、リディア・シャッフェンが修行初期の貧しかった頃に秘法を考案し、自分で製作したこのネックレスを身に付けて実力を錬磨したと言われています。
ITEM_20150317_001334	パントタリスマン
ITEM_20150317_001335	パント族が人間と敵対していなかった頃、人間のウィザードからこのネックレスの製造方法を伝授されたと言われています。
ITEM_20150317_001336	パイライトペンダント
ITEM_20150317_001337	以前はパイロマンサーマスターが入門者に授与していましたが、女神たちが姿を眩ませてから、その伝統は途絶えました。
ITEM_20150317_001338	クリオライトペンダント
ITEM_20150317_001339	クリオマンサーマスターはまだ神樹の日以前の自身の就任を機に、このペンダントの授与式を中断しました。それ以降、このペンダントは自分で製造するか、獲得する方法でしか手に入らなくなりました。
ITEM_20150317_001340	マジックタリスマン
ITEM_20150317_001341	触媒となる材料さえあれば、2種類の魔力が込められたアイテムを簡単に融合させることができます。しかし、この材料を必要とするのが、人間だけではないというのが問題です。
ITEM_20150317_001342	ストレングスペンダント
ITEM_20150317_001343	神樹の日以降、モンスターの能力を利用する新しい魔法アイテムが発明されています。
ITEM_20150317_001344	パイルマチェーン
ITEM_20150317_001345	パイロマンサーマスターはこのアイテムの製造とは何の関連性もありません。
ITEM_20150317_001346	アイスマチェーン
ITEM_20150317_001347	噂によると、この製品が販売される度にクリオマンサーマスターのところにお金が入るといいます。
ITEM_20150317_001348	ポイズマチェーン
ITEM_20150317_001349	魔術師の塔から追い出されたウィザードたちが主に製造に参加しているといいます。
ITEM_20150317_001350	ライトナチェーン
ITEM_20150317_001351	伝説によると、アガイラ・フラリーは魔王との戦闘のためにこのネックレスを数十個用意し、それがすべて破壊されるまで戦ったと言われています。
ITEM_20150317_001352	ヘルスストーン
ITEM_20150317_001353	健康に良いとされる材料を集め、その効能を魔法で凝縮させて製造した装備です。
ITEM_20150317_001354	ウォリアーペンダント
ITEM_20150317_001355	このアイテムの製造方法が王国に伝わった時期は定かではありませんが、起源はバーバリアンマスターの故郷だという説があります。しかし、現在の両地域の製造方法は多少異なると推測されます。
ITEM_20150317_001356	サイクロプスアイ
ITEM_20150317_001357	サイクロプスアイが目にした魔界の闇が、これからあなたを守ります。
ITEM_20150317_001358	ボーンネックレス
ITEM_20150317_001359	アンデッドとしてこの地に帰還することに失敗すると、そのエネルギーを変換し、この装備に吹き込んだと言われています。
ITEM_20150317_001360	カーニヴォアネックレス
ITEM_20150317_001361	いつの時代にどこで作られたのか分からない装備を身に付けるのは不安です。しかし、どの装備も同じです。由来や名前がはっきり分かるものはそう多くありません。
ITEM_20150317_001362	ケッピーペンダント
ITEM_20150317_001363	フォーマインネックレス
ITEM_20150317_001364	ある高潔な兵士の遺品が、新しい持ち主に出会いました。
ITEM_20150317_001365	コンカラー
ITEM_20150317_001366	建国戦争期に一人の賢者がジャカリエル大王に仕えると決心した際、大王に奉じたものです。その後、大王が製造方法を公開したことで広く伝わりましたが、現在は製造方法が失われてしまい、再現が難しいとされています。
ITEM_20150317_001367	ペタミオン
ITEM_20150317_001368	一部の人々は、このアイテムが、全ての能力を一瞬で向上させる秘法を作り出したのが人間ではなく魔族であるという説を証明していると考えています。
ITEM_20150317_001369	イリークタス
ITEM_20150317_001370	融合しない2つの属性を利用して、どちらか1つの属性を極大化させることができます。極大化させる際は、向上する効能と失う能力について十分に考慮する必要があります。
ITEM_20150317_001371	サフィエネックレス
ITEM_20150317_001372	このネックレスには持ち主を守る力が込められていると言われています。きっとあなたのことを守り続けてくれるはずです。
ITEM_20150317_001373	ガーディアン
ITEM_20150317_001374	争いを好まない女神ジェミナの恩恵が込められたものです。身に付けた者に脅威の保護力を発揮しますが、攻撃時には大きな弱点を晒してしまいます。
ITEM_20150317_001375	マックスペタミオン
ITEM_20150317_001376	人間が持つ全ての能力を向上させる方法はあります。しかし、その方法を見つけるのはそう簡単ではありません。
ITEM_20150317_001377	アニマス
ITEM_20150317_001378	このネックレスを身に付けた者は、魂をいくつかに分けることができ、その一部を他の世界に置くことができるという噂があります。これまで数多くの研究者がこのネックレスを研究してきましたが、実際の効果について検証できた人はいませんでした。
ITEM_20150317_001379	なし_Ring
ITEM_20150317_001380	くぼんだバングル
ITEM_20150317_001381	ブレスレット
ITEM_20150317_001382	水晶が埋め込まれていた痕跡が鮮明に残っています。
ITEM_20150317_001383	レザーバングル
ITEM_20150317_001384	一部のモンスターの皮は、特別な魔力が込められていなくても、作り方によって魔法のような効果を出すことができます。単純な革製のバングルだと侮ってはいけません。
ITEM_20150317_001385	ライトバングル
ITEM_20150317_001386	このバングルを身に付けると筋力が上がると誤解している人々がいますが、実際そのような効果はありません。
ITEM_20150317_001387	ヘビーバングル
ITEM_20150317_001388	精神力の向上は、自分の能力が拡大するのではなく、周囲との交感が向上することを意味します。これであなたも活力に満ちるはずです。
ITEM_20150317_001389	リングブレスレット
ITEM_20150317_001390	命中力というのはつまり、自分自身の体に対する統制力です。アキュラシーバングルの効能がその統制力に役立ちます。
ITEM_20150317_001391	ノーブルブレスレット
ITEM_20150317_001392	この装備には大地の女神ジェミナの恩恵が込められています。
ITEM_20150317_001393	アイアンバングル
ITEM_20150317_001394	魔法のような効力はありませんが、防御力が上がるのは確かです。
ITEM_20150317_001395	ヘルスヘビーバングル
ITEM_20150317_001396	フェディミアン製品は、昔から高性能でたくさんの魔力を必要としない装備として有名です。
ITEM_20150317_001397	マギヘビーバングル
ITEM_20150317_001398	アキュラシーヘビーバングル
ITEM_20150317_001399	ライトヘビーバングル
ITEM_20150317_001400	ライトアイアンバングル
ITEM_20150317_001401	アイアンバングルが古びて損傷した状態のものと思われます。
ITEM_20150317_001402	クラペダブレスレット
ITEM_20150317_001403	ウッドバングル
ITEM_20150317_001404	軽い材質の木で作られました。
ITEM_20150317_001405	ゴブリンバングル
ITEM_20150317_001406	フォレストバングル
ITEM_20150317_001407	ローカスブレスレット
ITEM_20150317_001408	ルーンブレスレット
ITEM_20150317_001409	シルバーブレスレット
ITEM_20150317_001410	クリスタルバングル
ITEM_20150317_001411	過去には水晶鉱山から採れた水晶が多く使われていましたが、鉱山に色んな問題が発生してからは製作自体が難しくなりました。
ITEM_20150317_001412	シャインブレスレット
ITEM_20150317_001413	このブレスレットを身に付けている人々は、ブレスレットを身に付けた瞬間、体が精気と活力に満ち溢れる感じがするといいます。
ITEM_20150317_001414	バトルブレスレット
ITEM_20150317_001415	悲しいことに過去の人間同士の戦争に多く使われていたといいます。
ITEM_20150317_001416	ポイズンバングル
ITEM_20150317_001417	昔から複数の生物の毒を融合させて作られています。神樹の日以降、材料が手に入りやすくなりました。
ITEM_20150317_001418	プランツブレスレット
ITEM_20150317_001419	植物の弱点を利用する方法を思いついたウィンタースプーン家は、その秘法をこの世に広めています。
ITEM_20150317_001420	コントロールバングル
ITEM_20150317_001421	無生物状態から変異したモンスターの精神を操り、弱化させる手段が秘められた装備です。
ITEM_20150317_001422	ハンターバングル
ITEM_20150317_001423	このブレスレットはもともと狩人たちの間に伝わっていたものです。最近モンスターが急増したことから、より多くの人々に広まりました。
ITEM_20150317_001424	ブレーサー・オブ・アーチャー
ITEM_20150317_001425	材料に含まれる血を渇望するオーラが、命中率に好影響を及ぼすと言われています。
ITEM_20150317_001426	ウィザードブレスレット
ITEM_20150317_001427	起源が特定できないほど古い時代に考案された製造方法です。発見される回数は少なくても、発見場所は広く分布されています。
ITEM_20150317_001428	ラピッドバングル
ITEM_20150317_001429	神樹の日以降、ゴブリンたちが魔族から手に入れた秘法を人間の勇者たちが奪取したことからこの世に広まりました。
ITEM_20150317_001430	グラスブレスレット
ITEM_20150317_001431	この装備を欲しがる人が増えたことから、王国各地で宝石の価格が高騰しているという噂があります。
ITEM_20150317_001432	メレジナバングル
ITEM_20150317_001433	このアイテムから海の香りを感じるという人もいますが、それは心理的錯覚といえるでしょう。
ITEM_20150317_001434	ベアカリスブレスレット
ITEM_20150317_001435	ベアカリスの力の根源が分かります。
ITEM_20150317_001436	ノービスバングル
ITEM_20150317_001437	はじめての装備にお勧めです。
ITEM_20150317_001438	グラディエーターバンド
ITEM_20150317_001439	王国の歴史の中で剣闘競技が最も盛んだったカデュメル国王時代に考案された製造方法です。最近モンスターからの威嚇が増加したことで、この製造方法が注目を集めるようになりました。
ITEM_20150317_001440	ブレスレット・オブ・リンネ
ITEM_20150317_001441	神樹の日以降、新種が次々と発見されるようになりました。新種の植物には、その対処法の研究に貢献した一人の学者の名前が付けられました。
ITEM_20150317_001442	ポーラ
ITEM_20150317_001443	よく見ると、
ITEM_20150317_001444	光と闇が共存する時代、生命の根源のもと、最初の人間によって作られた。
ITEM_20150317_001445	という文言を発見することができます。
ITEM_20150317_001446	ポーレ
ITEM_20150317_001447	ジャカリエルバングル
ITEM_20150317_001448	大王の死後、彼への追慕の意を込めて作られたそうです。
ITEM_20150317_001449	シセルブレスレット
ITEM_20150317_001450	伝説によると、一人の兵士が自身の理性と全てを狂気に差し出す代わりにこのブレスレットを手に入れ、強力な魔王を封印したと言われています。
ITEM_20150317_001451	スキル1ブレスレット
ITEM_20150317_001452	特殊スキルを使用することができます。
ITEM_20150317_001453	スキル2ブレスレット
ITEM_20150317_001454	スキル3ブレスレット
ITEM_20150317_001455	スキル4ブレスレット
ITEM_20150317_001456	ハイランダーコスチューム
ITEM_20150317_001457	コスチューム
ITEM_20150317_001458	王宮の正式行事でも着用できるほど上品ながら、手足が動きやすい形に作られました。
ITEM_20150317_001459	ペルタストコスチューム
ITEM_20150317_001460	ペルタストたちは華麗な服装を好みます。彼らには敵の目につきやすいという危険性より、味方に自分の活躍を誇示する方が大事だからです。
ITEM_20150317_001461	ホプライトコスチューム
ITEM_20150317_001462	足の動きやすさと、跳躍後の投槍の動作が円滑に行えるように作られた衣装です。
ITEM_20150317_001463	センチュリオンコスチューム
ITEM_20150317_001464	この衣装は、過去千年間伝わってきた伝統的要素を忠実に表現しています。
ITEM_20150317_001465	バーバリアンコスチューム
ITEM_20150317_001466	特別な服飾はありませんが、誰もが着こなしやすいスタイルの服装です。
ITEM_20150317_001467	カタフラクトコスチューム
ITEM_20150317_001468	乗馬と武装を兼ねた作りの衣装です。馬への負担も少ないです。
ITEM_20150317_001469	コルセアコスチューム
ITEM_20150317_001470	複数の服を重ねて一つの衣装にしたものです。海での生活に必要な知恵が反映されています。
ITEM_20150317_001471	ドッペルゾルドナーコスチューム
ITEM_20150317_001472	ドッペルゾルドナーを誕生させた地方の服飾を維持しながら、彼らの自由な精神を反映させた服装です。
ITEM_20150317_001473	ロデレロコスチューム
ITEM_20150317_001474	情熱的な意志を表すと共に戦闘で動きやすいように頑丈で体にフィットするように作られた衣装です。
ITEM_20150317_001475	スクワイアコスチューム
ITEM_20150317_001476	戦場や戦闘への険しい道を徒歩で移動することの多かった時代、スクワイアの必要性を反映している伝統的な衣装です。
ITEM_20150317_001477	忍びコスチューム
ITEM_20150317_001478	ムルミロコスチューム
ITEM_20150317_001479	パンサーコスチューム
ITEM_20150317_001480	ランサーコスチューム
ITEM_20150317_001481	ドラグーンコスチューム
ITEM_20150317_001482	パイロマンサーコスチューム
ITEM_20150317_001483	パイロマンサーたちは、自分たちの衣装がウィザードであることを表すと同時に紳士的な司祭の印象を与えると思っています。
ITEM_20150317_001484	クリオマンサーコスチューム
ITEM_20150317_001485	極限の冷気を扱う場合を考慮して作られました。現在のマスターの性格を反映し、実用性を重視しています。
ITEM_20150317_001486	サイコキノコスチューム
ITEM_20150317_001487	見た目は体にピッタリ合いそうですが、着てみると一回り大きい衣装です。サイコキノは精神はもちろん肉体の拘束もを嫌うからです。
ITEM_20150317_001488	アルケミストコスチューム
ITEM_20150317_001489	よく見ると、複数の服を重ね着している形になっています。非常時に1着ずつ脱げるようになっています。
ITEM_20150317_001490	ソーサラーコスチューム
ITEM_20150317_001491	ウィザードの服にしては戦闘的なスタイルです。彼らが扱う被造物のことを考えると、当然でしょう。
ITEM_20150317_001492	リンカーコスチューム
ITEM_20150317_001493	万物のつながりを追求するため、服装には何も連想させないようなシンプルさが求められます。他のリンカーに、連想によるつながりを与えないためだと言われています。
ITEM_20150317_001494	クロノマンサーコスチューム
ITEM_20150317_001495	クロノマンサーたちによると、彼らの衣装はアガイラ・フラリーが最も好んだ形の衣装だといいます。
ITEM_20150317_001496	ネクロマンサーコスチューム
ITEM_20150317_001497	彼らは他人に暗い印象を与えたくないと言いながら、喪服のような服を着ています。
ITEM_20150317_001498	ソーマタージュコスチューム
ITEM_20150317_001499	実は彼らの衣装は、彼らが駆使する魔法と相性が良くありません。相性が合わない服を着続けるほど、伝統というものは大事な要素なのです。
ITEM_20150317_001500	エレメンタリストコスチューム
ITEM_20150317_001501	エレメンタリストの衣装は、どの流派の特徴も示さないよう慎重に考案されました。
ITEM_20150317_001502	ミミックコスチューム
ITEM_20150317_001503	道士コスチューム
ITEM_20150317_001504	ハンターコスチューム
ITEM_20150317_001505	森で生活しやすいように作られた衣装です。
ITEM_20150317_001506	クォレルシューターコスチューム
ITEM_20150317_001507	クォレルシューターたちが大きな都市の警備を任されていた時代に作られた衣装です。警備の任務から離れた後も衣装はそのまま変わりませんでした。
ITEM_20150317_001508	レンジャーコスチューム
ITEM_20150317_001509	実はレンジャーたちの衣装は、クォレルシューターの衣装から発展したものです。
ITEM_20150317_001510	サッパーコスチューム
ITEM_20150317_001511	サッパーたちは軍隊と関わっていますが、担当している仕事の都合上、服装の規定がありません。
ITEM_20150317_001512	ポイズンシューターコスチューム
ITEM_20150317_001513	彼らの故郷の伝統を反映した衣装です。
ITEM_20150317_001514	ハッカペルコスチューム
ITEM_20150317_001515	跨った状態で左右に体を簡単に動かすことができ、足が動きやすいように作られた衣装です。
ITEM_20150317_001516	スカウトコスチューム
ITEM_20150317_001517	活動する環境より、時間に焦点を合わせた衣装です。
ITEM_20150317_001518	ローグコスチューム
ITEM_20150317_001519	スカウトの衣装と似た方法で作られましたが、こちらの方が少し活動性が高いです。そのため、格式の高い場所には適していません。
ITEM_20150317_001520	シュヴァルツライターコスチューム
ITEM_20150317_001521	人々の信頼が得られる気品ある衣装です。
ITEM_20150317_001522	フレッチャーコスチューム
ITEM_20150317_001523	厚手の布を使用しているため、意外と防御力が高いです。フレッチャーの形態上、多少動きにくくても問題ありません。
ITEM_20150317_001524	ファルコナーコスチューム
ITEM_20150317_001525	アプレイサーコスチューム
ITEM_20150317_001526	パイドパイパーコスチューム
ITEM_20150317_001527	マスケティアコスチューム
ITEM_20150317_001528	プリーストコスチューム
ITEM_20150317_001529	プリーストは自分たちが最も伝統的で中立的な聖職者であると信じています。そのような思想は彼らの衣装にもよく表れています。
ITEM_20150317_001530	クリヴィスコスチューム
ITEM_20150317_001531	クリヴィスは自分たちが最も古い伝統的信仰を持つ守護者であると自負しています。彼らの服飾の起源はジャカリエルの時代までさかのぼります。
ITEM_20150317_001532	ボコルコスチューム
ITEM_20150317_001533	武器を振り回す時も、水晶を覗く時も、裁縫をする時も、何をしていても似合う服です。
ITEM_20150317_001534	ドルイドコスチューム
ITEM_20150317_001535	裾の長い彼らの服は、野外生活で役立つと言われています。
ITEM_20150317_001536	サドゥーコスチューム
ITEM_20150317_001537	この類の聖職者が最初に作ったとされる伝統衣装に大きな影響を受けた衣装です。
ITEM_20150317_001538	ティルトルビーコスチューム
ITEM_20150317_001539	当り前のことですが、彫刻をつくる際に動きにくい衣装は論外です。
ITEM_20150317_001540	オラクルコスチューム
ITEM_20150317_001541	素材が軽くて軟らかいため、心身を安定させる効果があると言われています。
ITEM_20150317_001542	モンクコスチューム
ITEM_20150317_001543	体を鍛える時にも着用できるくらい動きやすく、司祭の純潔さを強調した衣装です。
ITEM_20150317_001544	パードナーコスチューム
ITEM_20150317_001545	パードナーたちのスーツがそうであるように相手に信頼感を与えます。
ITEM_20150317_001546	パラディンコスチューム
ITEM_20150317_001547	パラディンには、室内礼拝用の衣装と野外戦闘用の衣装があります。この衣装は野外用です。
ITEM_20150317_001548	シェパードコスチューム
ITEM_20150317_001549	チャプレンコスチューム
ITEM_20150317_001550	なし_Hat
ITEM_20150317_001551	ヘアコスチューム
ITEM_20150317_001552	髪飾りです。右クリックで装着できます。
ITEM_20150317_001553	ねこ耳
ITEM_20150317_001554	特定の動物に限って友好的になります。
ITEM_20150317_001555	クリスタルカチューシャ
ITEM_20150317_001556	ポニーテール
ITEM_20150317_001557	目を保護するために着用するゴーグルです。
ITEM_20150317_001558	スチールバイザー
ITEM_20150317_001559	ウィングバイザー
ITEM_20150317_001560	フェドラ
ITEM_20150317_001561	ゴーグル
ITEM_20150317_001562	どんな状況でも視野を確保することができます。ただし、曇ってしまうかもしれません。
ITEM_20150317_001563	レプスバニーカチューシャ
ITEM_20150317_001564	レプスバニーの耳をかたどったカチューシャです。ちなみに、このアイテムを着用しても耳が良く聞こえるようになるというような効果はありません。
ITEM_20150317_001565	イチョウの葉
ITEM_20150317_001566	秋によく目にするイチョウの葉っぱです。銀杏の匂いがするかもしれません。
ITEM_20150317_001567	アゲハチョウ
ITEM_20150317_001568	1羽のアゲハチョウが頭にとまっているように見えます。
ITEM_20150317_001569	鷲の羽根
ITEM_20150317_001570	メモする時の筆記道具としても使えます。
ITEM_20150317_001571	マッシュカリアハット
ITEM_20150317_001572	頭から本当にキノコが生えるかもしれません。
ITEM_20150317_001573	王冠
ITEM_20150317_001574	権力には責任が伴います。
ITEM_20150317_001575	白い花のヘアピン
ITEM_20150317_001576	このヘアピンを身に付けるだけで、とても華やかになります。
ITEM_20150317_001577	虎の仮面
ITEM_20150317_001578	独特な雰囲気を醸し出す虎の仮面です。
ITEM_20150317_001579	ティニーのぬいぐるみ
ITEM_20150317_001580	ティニーの実物は、ぬいぐるみとは全く違う姿をしているかもしれません。
ITEM_20150317_001581	翼の兜
ITEM_20150317_001582	翼の形をした飾りのついた兜です。
ITEM_20150317_001583	翼の飾り
ITEM_20150317_001584	とある女神の翼をモチーフに作られた髪飾りです。
ITEM_20150317_001585	ニワトリの卵
ITEM_20150317_001586	どうして頭の上に巣を作ったのかは分かりません。
ITEM_20150317_001587	ヒヨコ
ITEM_20150317_001588	餌を与えないと頭を突いてくるので、円形脱毛になってしまうかもしれません。
ITEM_20150317_001589	ニワトリ
ITEM_20150317_001590	これでもう卵の心配はありませんね。
ITEM_20150317_001591	制帽
ITEM_20150317_001592	行進や特別な行事に参加する時にかぶる帽子です。
ITEM_20150317_001593	紳士の品格
ITEM_20150317_001594	とても優雅な雰囲気を醸し出す帽子です。
ITEM_20150317_001595	おしゃれなメガネ
ITEM_20150317_001596	メガネのレンズに色が付けられた最新アイテムです。
ITEM_20150317_001597	氷のう
