QUEST_20150317_000001	クエスト修正が必要なユーザーを選択してください。
QUEST_20150317_000595	他に出来ることが無いから手伝ってるけどな。{nl}俺だって力があれば商業地区の復旧工事を手伝いたいんだよ。
QUEST_20150317_000596	老いた陶工
QUEST_20150317_000597	神樹の日にフェディミアンが崩壊した時、私の工房もメチャクチャになってしまったんだ。{nl}これからどうやって暮らせばいいのか…と悩み始めてもう4年も経ってしまったよ。
QUEST_20150317_000598	元々は銀工芸を生活の糧にしていたんだが、今は特技を生かして陶器の装飾を作っている。{nl}王国各地から人々が祈りに来るからな。
QUEST_20150317_000599	荷車引き
QUEST_20150317_000600	願いを込める陶器だから、実際に陶器の中に願い事を書いた粘土板を入れることもある。{nl}よく探してみれば、面白い願い事を読めるかもしれないぞ。
QUEST_20150317_000601	ありがたいことに、労働者たちが集まってフェディミアンの復旧を手伝ってるんだ。{nl}神樹の日には本当に世界が滅びるのかと思ったが、世の中捨てたもんじゃないな。
QUEST_20150317_000602	フェディミアン警備兵
QUEST_20150317_000603	巨大ジェミナ女神像を一目で見るのは絶対に不可能です。{nl}大地震で下半身が地面に埋まった今でも、それは変わりません。
QUEST_20150317_000604	あれ？どうやってここに登ったんですか？
QUEST_20150317_000605	王国記
QUEST_20150317_000606	燦爛と輝く永久なる王国…。{nl}ジャカリエルはこの地を一つの強力な王国として統一することに成功した。{nl}
QUEST_20150317_000607	この地の王国はただ一つゆえ、あえて名づける必要もない。{nl}
QUEST_20150317_000608	千年祭の物語
QUEST_20150317_000609	王国建国千年を祝う祭りが始まった。{nl}
QUEST_20150317_000610	多くの人々が蜂蜜酒に酔いしれ、女神に捧げる舞を舞って国中が笑いに溢れていた。
QUEST_20150317_000611	祭礼記
QUEST_20150317_000612	ジャカリエルが王国を建国した時、神樹と呼ばれる木を中心に首都を定めた。{nl}
QUEST_20150317_000613	国王は毎年、多くの司祭たちと共にこの聖なる木を奉った。
QUEST_20150317_000614	神樹の日の記録
QUEST_20150317_000615	王国建国1091年、千年祭から百年も経たない頃のことだ。{nl}神樹がいきなり地面を貫いて爆発的に生長し、首都や多くの街が被害を受けた。{nl}
QUEST_20150317_000616	その木の高さは天を突き、その太さは計測できない程だった。
QUEST_20150317_000617	植物誌
QUEST_20150317_000618	神樹の日に多くの動植物が凶悪なモンスターと化した。{nl}
QUEST_20150317_000619	変化の作用原理からすれば、その反対もまた起こり得るだろう。
QUEST_20150317_000620	クラペダ司教令布告文
QUEST_20150317_000621	神樹の日にクラペダ市長は失踪し、国王もまた逝去された。{nl}大臣や王室の高官たちもまたほとんどが命を落としたため、中央からの支援も望める状況ではない。{nl}
QUEST_20150317_000622	そこで、クラペダは司教による臨時自治権を行使することとする。{nl}{nl}-クラペダ司教
QUEST_20150317_000623	英雄伝
QUEST_20150317_000624	偉大なる4人の英雄がいなければ、おそらくほとんどの街は全壊していたでしょう。{nl}彼らが持っていた聖なる武器が、神樹の日に大活躍したのです。{nl}
QUEST_20150317_000625	その中でもパラディンマスターは首都で沢山の人々を救った英雄です。{nl}現在、彼は巨大な悪と戦うために銀水峡谷へ…
QUEST_20150317_000626	反乱の歴史
QUEST_20150317_000627	史上最強の剣士ルクリスが大地の要塞を完成させると、彼を慕う多くの者たちがそこに集まって来た。{nl}
QUEST_20150317_000628	その勢力は次第に強大化し、ついには小さな都市国家の様相を呈するまでになった。このことによりルクリスの野望もまた、強大化したものと推測される。{nl}
QUEST_20150317_000629	膨れ上がったルクリスの勢力は、ついに国王カデュメルに対し、反乱を起こした。{nl}
QUEST_20150317_000630	一般的な反乱とは異なり、強大な勢力と街一つが加担する大規模な事件だったため、内戦として記録する歴史家もいた。{nl}
QUEST_20150317_000631	反乱は当初、ルクリスの勝利に傾きかけたが、偉大なる宰相と称賛されるプリミア・エミネントと名射手リディア・シャッフェンが参戦したことで、その戦況は変わっていった。{nl}
QUEST_20150317_000632	最終的にルクリスはリディア・シャッフェンの放った矢で命を落とし、丸2年に渡った反乱は鎮圧されることになる。{nl}
QUEST_20150317_000633	極悪人ルクリスを慕っていた者たちの街は名も奪われ、永遠の呪いをかけられた。{nl}現在も続くその呪いは街の全てを石にしてしまった。
QUEST_20150317_000634	僕らの友達
QUEST_20150317_000635	君は僕のかわいいコンパニオン{nl}尖った牙に鋭い爪{nl}でも怖くないよ{nl}君は僕のかわいいコンパニオン{nl}
QUEST_20150317_000636	君は僕の頼もしい友達、コンパニオン{nl}世界がモンスターでいっぱいだけど{nl}でも怖くないよ{nl}君は僕の頼もしい友達、コンパニオン
QUEST_20150317_000637	クラペダの女神像
QUEST_20150317_000638	クラペダの中央広場にある女神像がどの女神のものなのかは、その女神像を作ったティルトルビーと賭博師モデスタスだけが知っている。{nl}
QUEST_20150317_000639	多くの者たちが女神像が誰なのかを知るためモデスタスと賭けをしたが、モデスタスは死ぬまで一度も負けることが無かった。
QUEST_20150317_000640	ジャカリエル王陵の守護者
QUEST_20150317_000641	ジャカリエル王陵を代々守る守護者一族以外にも、王陵内部をまもる石像がある。{nl}
QUEST_20150317_000642	王陵に流れるマナで作動するその守護者の石像たちは、まるで生きているように動き、中には会話できる石像も存在するらしい。
QUEST_20150317_000643	聖者メイバーンの見解
QUEST_20150317_000644	クレリックとウィザードを区分する最も簡単な方法は女神の恩恵をどのように活用するかということだ。{nl}女神の恩恵をそのまま用いるクレリックとウィザードは、使う者の意志によって様々な形で力を還元することができる。{nl}
QUEST_20150317_000645	還元する力をある特定の単位で示したものをマナと呼ぶ。
QUEST_20150317_000646	炎の女神ガビヤ
QUEST_20150317_000647	パイロマンサーは炎の女神ガビヤの恩恵を主に扱う。{nl}
QUEST_20150317_000648	酸化は対象となる元素ごとに差があるが、ガビヤの恩恵によってそれを無視する場合も発生する。{nl}
QUEST_20150317_000649	そのためには高い学識はもちろん、炎の女神ガビヤに対する信仰の意志が厚くなければならない。
QUEST_20150317_000650	万物の意志
QUEST_20150317_000651	万物を表現する最も簡単な形態は水、土、風、火で、その根源物質は女神の権能によって調節される。
QUEST_20150317_000652	簡単な発火の魔法
QUEST_20150317_000653	1. 乾燥した環境{nl}2. 燃えそうな物の存在。{nl}3. 一定以上のマナ{nl}4. 女神ガビヤの恩恵
QUEST_20150317_000654	アガイラ・フラリーの日記
QUEST_20150317_000655	ヘルガ・セルクルは今も私の塔を狙っているが、私の使命を継がせる後継者は見つかっていない。{nl}
QUEST_20150317_000656	私の命は今、消えつつある炎のようなもの。{nl}ならば、私の最後の命を燃やしてあのお方を呼んでみようと思う。{nl}
QUEST_20150317_000657	世の中に混乱をもたらすことになるだろう。{nl}世界の炎を司る女神に塔を託すということ自体が無謀な挑戦なのかもしれない。{nl}
QUEST_20150317_000658	しかし、私の使命は絶対に魔族の手に渡ってはならないのだ。私は女神ライマの予知した未来に賭けることにする。{nl}
QUEST_20150317_000659	本当に長い月日だった。それが正しい人生であり、選択だったのかは遠い未来にならないと分からないだろう。
QUEST_20150317_000660	見習い魔術師ジェインの日記
QUEST_20150317_000661	アガイラ・フラリー様の部屋に置き忘れた掃除道具を取りに行ったら、フラリー様と身体から炎を立ち上らせた女性が話しているのを見てしまった。{nl}
QUEST_20150317_000662	何だか重々しい雰囲気だったので、壁の後ろに隠れて見ていた。{nl}すると、いきなり恐ろしい魔族が現れたのだ。
QUEST_20150317_000663	フラリー様は…光を吐き出したと思ったら、一握の灰になって消えてしまった。{nl}あの魔族が何かしたのだろうか？{nl}見習い魔術師に過ぎない私に分かるはずもない。{nl}
QUEST_20150317_000664	とにかく、その魔族は炎の女性に背を向けて姿を消し…私には何も出来ないと思ってその場から逃げだした。{nl}
QUEST_20150317_000665	数日後、先輩たちからこの塔の主がガビヤ様になったことを聞いた。{nl}そして、世間では女神が姿を消したことになっているはずだからと、厳しく口止めもされた。{nl}
QUEST_20150317_000666	本当に大丈夫なのだろうか？{nl}でも…先輩たちが間違ったことを言ったことはないから、大丈夫なのだろう。
QUEST_20150317_000667	時間魔法論　注釈
QUEST_20150317_000668	魔術師の塔の主である大魔術師アガイラ・フラリーは魔法学に数多くの貢献をした。{nl}
QUEST_20150317_000669	彼女はあらゆる系列の全ての呪文を習得し、新たな呪文を考案しただけでなく、新たな系列の創造にも取り組んだ。{nl}
QUEST_20150317_000670	その代表的な分野はクロノマンサーという時間魔法で、これを利用してアガイラ・フラリーは永い寿命を実現することができた。{nl}
QUEST_20150317_000671	それまでにも女神の恩恵を受けて人間の寿命以上生きる者もいたが、アガイラ・フラリーは人間の意志で長生きした最初の事例として記録されるだろう。
QUEST_20150317_000672	魔法の系譜
QUEST_20150317_000673	初期魔法はマナそのものを研究したり、基礎元素を還元することから始まった。{nl}
QUEST_20150317_000674	その後、先天的な自覚や女神の信仰、数学的分析が加味されて魔法学は新たな拡張の可能性を広げ始めた。{nl}
QUEST_20150317_000675	これにより、身体や元素の変化など物理の法則を超えて時間と空間の観念を歪ませる研究が活発に行われた。
QUEST_20150317_000676	高位結界魔法の調査報告書
QUEST_20150317_000677	この塔を覆っている監禁の結界は魔将一人では絶対に作り出せないものだ。{nl}
QUEST_20150317_000678	まるでゴチャゴチャに絡みあった網のようになっていて、一定以上の神聖な力を持つ者だけが結界の外に出られないようになっている。{nl}
QUEST_20150317_000679	一体何のために、こんな結界を作ったのだろうか。{nl}世界の炎を司る女神ガビヤがあえてこの塔に留まるのは、この結界と関係あるのだろうか？{nl}
QUEST_20150317_000680	アガイラ・フラリー様がガビヤ様をこの塔に呼び出せたということは、この結界はガビヤ様を閉じ込めておくための物ではないのだろう。{nl}その理由を知るには、まず結界の構成から調べる必要があった。{nl}
QUEST_20150317_000681	長い研究の結果、この結界はヘルガ・セルクルの力だけで作ったのではなく、他の波長のマナが混ざっていることが分かった。{nl}
QUEST_20150317_000682	また、そのマナは魔法の礎石を陣の形に並べて構成された物だと判明した。{nl}
QUEST_20150317_000683	我々は王国の各地でその礎石の一部を回収することに成功。{nl}そして新たに分かった事実は、実に衝撃的だった。{nl}
QUEST_20150317_000684	結界の魔法に使われたマナの提供は、決して自発的ではなかったのだ。{nl}魔将クラスの存在を裂いてこの礎石に封印し、陣の形に構成した物だということしか推測できなかった。{nl}
QUEST_20150317_000685	結局、結界を解く鍵はその礎石であるということしか分からない。{nl}今回のヘルガ・セルクルの侵攻を防いだ後で、その答えは見つかるだろう。
QUEST_20150317_000686	マナの理解
QUEST_20150317_000687	女神の恩恵を自ら操るクレリックとは違い、ウィザードはマナに対して女神の恩恵や様々な魔法学的知識を放出する物だと定義することができる。{nl}
QUEST_20150317_000688	ならば、マナとは一体何なのだろうか。{nl}マナの本質はこの地の生命力だと言うこともできる。{nl}自然の生命力。それは単なる寿命のことではない。{nl}
QUEST_20150317_000689	生命力はこの世界の根幹となるエネルギーとして、まるで根のように世界の隅々まで流れている。{nl}そのエネルギーを吐き出す根源を見つければ、もの凄い力を手に入れることもできそうだ。{nl}
QUEST_20150317_000690	アンタレスの研究日誌 第1巻
QUEST_20150317_000691	マナに関する研究を続けていた私は、一つの重大に事実を発見した。{nl}魔術師の塔を流れるマナが、魔術師の塔の上層階でおかしな動きを見せているというのだ。{nl}
QUEST_20150317_000692	私は長い研究の末、魔術師の塔上部には我々の知るマナとは質の異なる第3のエネルギーが存在し、それが特定の物の形を成しているということを知った。{nl}
QUEST_20150317_000693	誰もその存在を知らないということは、おそらくアガイラ・フラリー時代の物なのだろう。{nl}
QUEST_20150317_000694	私はそれが魔法の新時代を切り開くと信じて疑わないが、塔の上層部に隔離されているのでとても接近することはできない。{nl}
QUEST_20150317_000695	しかし、塔を爆破したり一部を破壊することも不可能だろう。{nl}
QUEST_20150317_000696	今の段階ではさらに詳しく研究する必要があるという結論でこの文を締めようと思う。
QUEST_20150317_000697	陶工の粘土板
QUEST_20150317_000698	私が死ぬまでにフェディミアンが復興できますように。{nl}一つでも多くの願いが込められた陶器を作れますように。
QUEST_20150317_000699	ある少女の粘土板
QUEST_20150317_000700	いにしえの女神の庭で生き別れた兄に会えますように。
QUEST_20150317_000701	指揮官ウィリスの粘土板
QUEST_20150317_000702	都市で行政将校の仕事を続けられるよう、お見守りください。{nl}派遣勤務は嫌なんです。
QUEST_20150317_000703	クラペダの農民の粘土板
QUEST_20150317_000704	俺の農場を取り戻して、イモでも作りたい。
QUEST_20150317_000705	ある兵士の粘土板
QUEST_20150317_000706	リュダス様の部隊に入れますように。{nl}今度の出征先ではちゃんと補給が行われますように！
QUEST_20150317_000707	カーティン森奪還！{nl}デッドボーンとは会いたくないです。
QUEST_20150317_000708	レンジャーマスターの粘土板
QUEST_20150317_000709	フィオナは大嫌い。生意気にもハンターマスターなんてしてるし。{nl}でもエボニフォンを倒すためなら、フィオナと手を組んでもいいわ。
QUEST_20150317_000710	コベンの粘土板
QUEST_20150317_000711	女神様、どうか失踪した兄貴を探してください。{nl}そしたら、また酒場で兄貴の武勇伝を聞きながら一日を過ごせますよね？
QUEST_20150317_000712	ケビンの粘土板
QUEST_20150317_000713	ジャカリエルの王陵発掘地で大物を発掘できますように。
QUEST_20150317_000714	ウスカの粘土板
QUEST_20150317_000715	女神よ。{nl}騎士団を率いる者として、私の力でクラペダを守れるようお導きください。
QUEST_20150317_000716	ルチアの粘土板
QUEST_20150317_000717	いつかウィザードマスターになってやる。{nl}そしたら、その次はアガイラ・フラリーみたいな偉大なウィザードになるんだ。
QUEST_20150317_000718	願い事を書いた粘土板
QUEST_20150317_000719	アンデール村が神樹の日を乗り越えられたのも、女神様のおかげです。{nl}これからもアンデール村が幸せで豊かな村でありますように。
QUEST_20150317_000720	ティタスの粘土板
QUEST_20150317_000721	私の出会った啓示者たちが女神を見つけ出すことを願う。{nl}だが、何故私は啓示者になれなかったのだろうか。
QUEST_20150317_000722	パラディンマスターの粘土板
QUEST_20150317_000723	女神に祈ります。{nl}どうか、番人たちとの盟約を実現するその日が来ませんように。
QUEST_20150317_000724	シレニア・オデールの粘土板
QUEST_20150317_000725	ジャカリエル王陵の秘密を暴きたい。
QUEST_20150317_000726	私が派遣されている間は石化の呪いにかかりませんように。
QUEST_20150317_000727	ある巡礼者の粘土板
QUEST_20150317_000728	彼との結婚を誓いに大聖堂へ向かいます。{nl}巡礼の道が安全でありますように。
QUEST_20150317_000729	あるウィザードの粘土板
QUEST_20150317_000730	ヘルガ・セルクル、もう攻撃はいい加減にしてくれ。
QUEST_20150317_000731	ジャカリエルの破片
QUEST_20150317_000732	果てしなく輝く王国よ、永遠なれ！
QUEST_20150317_000733	テスラの一つ目の破片
QUEST_20150317_000734	偉大な彫刻家になる夢が叶いますように！
QUEST_20150317_000735	テスラの二つ目の破片
QUEST_20150317_000736	セルシシアがフクロウを守ること。
QUEST_20150317_000737	テスラの三つ目の破片
QUEST_20150317_000738	私が死ぬ時には、多くの弟子たちに看取ってほしい。
QUEST_20150317_000739	テスラの四つ目の破片
QUEST_20150317_000740	メイバーン。本当にいい奴だったのに。女神のもとで安らかに眠ってくれ…。
QUEST_20150317_000741	メイバーンの破片
QUEST_20150317_000742	私の弟子たちが無事壮大な夢を叶えますように…。
QUEST_20150317_000743	ルクリスの破片
QUEST_20150317_000744	剣の道を悟った今、愛する者の傍で死ぬことが最後の願いだ。
QUEST_20150317_000745	リディア・シャッフェンの破片
QUEST_20150317_000746	ルクリス…ごめんなさい。
QUEST_20150317_000747	アガイラ・フラリーの破片
QUEST_20150317_000748	女神よ。私の使命はあまりにも重すぎます。
QUEST_20150317_000749	プリミア・エミネントの破片
QUEST_20150317_000750	願い事など無意味だ。全ては自分の力で成し遂げる。
QUEST_20150317_000751	国王カデュメルの破片
QUEST_20150317_000752	カレジマス。なんて愉快な単語だ！
QUEST_20150317_000753	リムガウダスの破片
QUEST_20150317_000754	ターネット聖堂さえ無事に完成すれば、私の仕事は終わりだ。{nl}女神よ、最後までお見守りください。
QUEST_20150317_000755	ルシード・ウィンタースプーンの破片
QUEST_20150317_000756	作戦が成功してクロノマンサーマスターの地位を手に入れられますように。
QUEST_20150317_000757	現代マスター総覧1巻
QUEST_20150317_000758	この本は現代の全てのマスターたちの情報を網羅しています。{nl}今後続けて出版される予定ですので、次号もご期待ください。{nl}
QUEST_20150317_000759	ハイランダーマスター{nl}[ダグラス・ブラック]{nl}貴族出身の経験豊富な将校で、首都では王室の警備隊長を務めていました。{nl}ハイランダーたちの指導者として、混乱に陥った世界を救うことに尽力しています。{nl}
QUEST_20150317_000760	クロノマンサーマスター {nl}[ルシード・ウィンタースプーン]{nl}アルケミストの名家に生まれたものの、その職位を捨ててクロノマンサーの道を選びました。{nl}彼女の年齢を知る者はアルケミストマスターであるバイドータスしかいませんが、一説によるとターネット聖堂の完工式にも参加したそうです。{nl}
QUEST_20150317_000761	レンジャーマスター {nl}[ニモーケン]{nl}伝説の名射手リディア・シャッフェンが建てた星の塔出身のアーチャーです。{nl}暗殺者エボニフォンを追っていることで有名なのですが、噂によるとハンターマスターであるフィオナ・イエヴァとな何故か仲が悪いそうです。{nl}
QUEST_20150317_000762	パラディンマスター {nl}[ヴァレンティナス・ナイモン]{nl}伝説の4大英雄の中でも最も有名な英雄です。{nl}神樹の日当時には、彼の聖具で多くの人命が救われました。
QUEST_20150317_000763	本棚
QUEST_20150317_000764	読むには難しすぎる内容のようだ。
QUEST_20150317_000765	たくさんの本が並んでいる。{nl}どの本を読んでみようかな？
QUEST_20150317_000766	魔法がかかっていて読むことができない。
QUEST_20150317_000767	本の山の中には面白そうな本もありそうだ。{nl}どの本を読んでみようかな？
QUEST_20150317_000768	何冊か読めそうな本もある。{nl}どの本を読んでみようかな？
QUEST_20150317_000769	陶器
QUEST_20150317_000770	陶器の中に手を入れられそうだ。{nl}どの陶器を調べる？
QUEST_20150317_000771	陶器の中に何か入っているようだ。{nl}どの陶器を調べる？
QUEST_20150317_000772	新しい陶器の中にかなり古い陶器が紛れ込んでいる。{nl}どの陶器を調べる？
QUEST_20150317_000773	陶器をひっくり返せば中身を取り出せそうだ。{nl}どの陶器を調べる？
QUEST_20150317_000774	陶器と陶器の間に壊れた破片が見える。{nl}調べてみる？
QUEST_20150317_000775	何かが小さな文字で書かれている粘土板を発見した。
QUEST_20150317_000776	まだ新しい粘土板を発見した。
QUEST_20150317_000777	何か書かれている粘土板を発見した。
QUEST_20150317_000778	かなり古そうな粘土板だが、読むことはできそうだ。
QUEST_20150317_000779	かなり古そうな粘土板を発見した。
QUEST_20150317_000780	ハズレ
QUEST_20150317_000781	下手に触ると割れてしまいそうだ。
QUEST_20150317_000782	空っぽだった。
QUEST_20150317_000783	虫が出てきた…。
QUEST_20150317_000784	食べかけのイモが出てきた…。
QUEST_20150317_000785	粘土板が出てきたが、擦り減っていて読めない。
QUEST_20150317_000786	休憩の重要性
QUEST_20150317_000787	最近の若い者には本当にため息しか出ない。{nl}最近の若者は、何でも立ったままでしようとする。{nl}
QUEST_20150317_000788	武器を作るのも、ポーションを作るのも、さらには料理まで何もかもだ。{nl}ひとまず落ち着いてゆったり休む姿勢で座った方が良い。{nl}
QUEST_20150317_000789	座って必要な道具を用意し、材料を見極めて配置する。{nl}製造作業はその次であることを肝に銘じなければならない。
QUEST_20150317_000790	女神アウステヤ
QUEST_20150317_000791	女神の名のもとに、あなたに感謝いたします。{nl}私はこれから蜂たちを追って女神アウシュリネを探すつもりです。{nl}
QUEST_20150317_000792	もしかしたら、封印を守っている方が良いのかもしれませんけれど…。{nl}姿を消した姉妹たちを探せば、すべてが解決すると思うのです。{nl}
QUEST_20150317_000793	あなたが来てくれて本当によかった…どうか、お元気で…。{nl}あなたと、この地にいつまでも祝福があるよう祈りますわ。
QUEST_20150317_000794	ああ、俺もそう思う。{nl}モンスターたちはうちの蜜を狙ってるに違いない。{nl}でも証拠は確実な方がいいから、まずはサルドゥース養蜂場からハニカムの欠片を持って来てくれ。
QUEST_20150317_000795	臆病な青年
QUEST_20150317_000796	臆病だって言われてもいいんです。{nl}怖いものは怖いんだから。
QUEST_20150317_000797	ふふふ…蜂たちがささやいていたのはあなたのことだったのですね。{nl}私は縁の女神アウステヤです。{nl}
QUEST_20150317_000798	あなたのおかげでこの揺れる耕作地の封印は安定しました。ありがとう。{nl}ただ、他の啓示者たちが春光の森の封印から漏れ出た邪悪な気によって自我を失ってしまいました。{nl}
QUEST_20150317_000799	ですが、私は封印がこれ以上弱まらないようにすることに全力を賭していました…。{nl}彼らを救うどころか、実は息をすることすら難しいような状態なのです…ふう。{nl}
QUEST_20150317_000800	邪悪な力が弱まった今、姿を現すことができましたが…。{nl}どうか…彼らと春光の森をお救いくださいませ。{nl}
QUEST_20150317_000801	調査団員
QUEST_20150317_000802	一体どうしてモンスターがこんなに増えたんだろう？
QUEST_20150317_000803	モンスターたちのせいで農業も何もみんなメチャクチャになっちまった。
QUEST_20150317_000804	あんたも知ってるだろうけど、この王国には五人の女神とその補佐をする{nl}たくさんの女神たちがいらっしゃるんだ。{nl}でも、今は皆どこかに行っちゃったんだよ。
QUEST_20150317_000805	花売りのおばさん
QUEST_20150317_000806	最近は花も売れなくてね。{nl}売れるのは女神の帰還を願うために捧げる花くらいだよ。{nl}花を売るあたしも気分が滅入っちゃって。
QUEST_20150317_000807	クラペダに活気が戻ってくれるといいねぇ。{nl}花の香りが溢れて、大地の女神ジェミナ様に捧げる春の舞を舞って…。
QUEST_20150317_000808	警告文
QUEST_20150317_000809	リーフバグに注意 : 単なる虫ではありません！{nl}複数に囲まれると手ごわいので、注意してください。
QUEST_20150317_000810	ビッグケッピーに注意 : ただの大きな玉ねぎではありません！{nl}ビッグケッピーにはゴーグルを使っても無駄です。{nl}地軸を揺るがす強力な攻撃に気を付けてください。{nl}
QUEST_20150317_000811	敬虔な気持ちで女神像に祈りを捧げてください。{nl}大地を司る女神ジェミナの権能があなたをさらに強くしてくれるでしょう。{nl}
QUEST_20150317_000812	ジェミナ女神像はこの道の先にあります。
QUEST_20150317_000813	警告！ハナミン出現地域。{nl}かわいい顔に騙されないでください。{nl}群れを作って攻撃し…{nl}(真っ赤な花の蜜のようなものが付いていて文字が読めない。)
QUEST_20150317_000814	危険！事故発生時は自己責任！{nl}ゴーレムが出没すると言う噂があるので、これ以上進まないでください。{nl}
QUEST_20150317_000815	追伸。ゴーレムに遭遇した時は女神に祈るよりも急いで逃げることをお勧めします。
QUEST_20150317_000816	現在、女神は姿を隠されています。{nl}しかし、我らが悪に立ち向かい、勇敢に戦えばいつの日か必ず女神は戻られるでしょう。{nl}{nl}-騎士団長 ウスカ
QUEST_20150317_000817	啓示の夢を見てクラペダへ来た方々にお知らせします。{nl}騎士団長ウスカ様は中央広場で皆さまをお待ちです。
QUEST_20150317_000818	ようこそ、クラペダ商店街へ。{nl}アクセサリや道具、装備などを販売しています。
QUEST_20150317_000819	クラペダ中央広場へ行かれる方は、右の階段をご利用ください。
QUEST_20150317_000820	クラペダ中央広場
QUEST_20150317_000821	表示板
QUEST_20150317_000822	シャウレイ東の森
QUEST_20150317_000823	この像がどの女神の像なのか、いつ頃作られたのかは分かっていません。{nl}しかし、神秘的な権能により、選ばれし者を他の地域へ移動させてくれます。
QUEST_20150317_000824	良くできましたね。{nl}もう私にできることはありません。{nl}私に与えられた時間が終わろうとしているようですね。
QUEST_20150317_000825	さあ、前へお進みください。{nl}彫刻家が待っています。{nl}あなたを導くことができて、幸せでした。
QUEST_20150317_000826	…。
QUEST_20150317_000827	危険！{nl}下にある分かれ道の空き地には周期的に危険なモンスターが出現するので、立ち入りを禁止します。{nl}-フェディミアン市長
QUEST_20150317_000828	もう女神に捧げる祈りの声も少なくなってきました。{nl}みんな、疲れちゃったんでしょうか…。
QUEST_20150317_000829	あなたのことは絶対に忘れません…。{nl}どうか、この呪われた大地をさまよわず、{nl}女神のもとで安らかにお眠りください…。
QUEST_20150317_000830	休業のお知らせ
QUEST_20150317_000831	店主が王国を守るために出征したため、{nl}食堂はしばらくお休みします。{nl}- クラペダ名物ブリューニャ食堂店主
QUEST_20150317_000832	蝋燭の炎を消さないでください。{nl}霊魂たちが道に迷わないよう導く灯なのです。
QUEST_20150317_000833	ご存じの通り、神樹の日に国王は逝去され、多くの王族や貴族も同じ運命を辿りました。{nl}なんとか王国は維持されていますが…もう祈るしかありませんね。
QUEST_20150317_000834	もう本当に祈るしかありません。
QUEST_20150317_000835	尖塔が赤い光をまとう時、幻想…へ行く…門が開かれる。
QUEST_20150317_000836	ジャカリエル王の意志
QUEST_20150317_000837	救済者よ。{nl}そなたは啓示の解釈を聞け。
QUEST_20150317_000838	クッ…。{nl}私が人間ごときに振り回されるとは。
QUEST_20150317_000839	最大の苦痛と共に殺してやる！
QUEST_20150317_000840	兵士募集のお知らせ
QUEST_20150317_000841	あなたの力が必要です。{nl}共に家族と王国を守りましょう。{nl}{nl}-クラペダ募兵所
QUEST_20150317_000842	この混乱期を正さんとする勇敢な青年を募集します。{nl}世界はあなたを必要としています。{nl}{nl}-クラペダ募兵所
QUEST_20150317_000843	名誉。{nl}あなたに支給される軍服は、それで作られています。{nl}{nl}-クラペダ募兵所{nl}
QUEST_20150317_000844	警告！民間人の立ち入りを禁止します。
QUEST_20150317_000845	関係者以外立ち入り禁止
QUEST_20150317_000846	無駄だ。
QUEST_20150317_000847	この呪文さえ完成すれば、兵士たちを助けられる。{nl}ボクにできるかなぁ？
QUEST_20150317_000848	ボクが失敗したら、兵士たちはみんな死んじゃう。{nl}頑張らなきゃ。
QUEST_20150317_000849	できる。{nl}今度はガイガラスを倒せるよ。
QUEST_20150317_000850	残念ながら、メイバーン様の意志なので、私にどうにかすることはできません。{nl}ですが、役に立ちそうなことをお教えすることはできます。
QUEST_20150317_000851	大聖堂は660年前にシルベストロ・メイバーン様が主導して建設されました。
QUEST_20150317_000852	ナクティスは呪い…彼女が通った後には呪いの言葉だけが残りました。{nl}その彼女が啓示を探すために大聖堂を占拠しているのです。
QUEST_20150317_000853	啓示者様を待っていた間、どうにかして彼らの妨害を続けてきましたが…。{nl}ご覧の通り、こんな身体なので限界を感じていたところです。
QUEST_20150317_000854	聖堂の机
QUEST_20150317_000855	…ルクリスが大聖堂で私の教えを受けてから3年という月日が流れ…
QUEST_20150317_000856	…内戦が勃発してから2年で私の一番弟子、ルクリスは死亡し…・
QUEST_20150317_000857	…リディア・シャッフェンが大聖堂を出て1年が過ぎて…
QUEST_20150317_000858	…3人の弟子のうち、アガイラ・フラリーは…
QUEST_20150317_000859	昔からこの街では願い事を込めた陶器が作られてきたんじゃ。{nl}失踪した女神たちが戻れば、この災難も終わると思うんじゃが…。
QUEST_20150317_000860	壇上に書かれた言葉は、こんな内容だったはずです。{nl}≪二つの目で聖なる数字を記憶せよ。蝋燭の炎は邪悪な闇を照らすだろう…。≫
QUEST_20150317_000861	燭台に書かれた数字を憶えておいてください。{nl}そして、その数字の分だけ蝋燭に炎を灯せば解決すると思います。
QUEST_20150317_000862	私の力不足で救いの聖遺物は魔族に奪われてしまいましたが…。{nl}まだナクティスの手には渡っていないはずです。{nl}
QUEST_20150317_000863	他の聖遺物と鍵も心配なので、急いで動いた方が良いでしょう。
QUEST_20150317_000864	祭壇に刻まれた言葉
QUEST_20150317_000865	永久なる女神よ。{nl}あなたの限りない慈悲を永遠に讃えん。
QUEST_20150317_000866	生命は枯れ、霊魂は行き場を失った。{nl}我らを救えるのは女神のみ。
QUEST_20150317_000867	司教様をお連れしました。
QUEST_20150317_000868	モンスターです。逃げてください。
QUEST_20150317_000869	メイバーンの装置
QUEST_20150317_000870	司教が言っていたメイバーンの装置。{nl}小さな鍵穴が見える。
QUEST_20150317_000871	ブルーポンデル
QUEST_20150317_000872	どうしたの？
QUEST_20150317_000873	嘘じゃない？
QUEST_20150317_000874	ブラックパウンド
QUEST_20150317_000875	どうかした？{nl}怪しいな。
QUEST_20150317_000876	信じてもいい？
QUEST_20150317_000877	ナクティス
