SKILL_20150317_000001	攻撃
SKILL_20150317_001576	カウンタースペル
SKILL_20150317_001577	フォアキャスト
SKILL_20150317_001578	ドロップアイテムチェンジ
SKILL_20150317_001579	ワードになり、自分が受けるバフを味方に与えます。
SKILL_20150317_001580	味方の敏捷能力をアップさせる魔法陣を描きます。敵軍は防御力がダウンします。
SKILL_20150317_001581	敏捷 #{CaptionRatio}#%アップ{nl}#{CaptionTime}#秒持続{nl}敵の防御力#{CaptionRatio2}#%ダウン{nl}魔法陣10秒間維持{nl}消費SP #{SpendSP}#
SKILL_20150317_001582	味方の移動速度をアップさせる魔法陣を描きます。
SKILL_20150317_001583	移動速度 +#{CaptionRatio}#%アップ{nl}スキルレベルごとに+0.2% 移動速度追加アップ{nl}持続時間 #{CaptionTime}#秒{nl}消費SP #{SpendSP}#
SKILL_20150317_001584	自分を含め、前にいる味方に聖水をかけます。聖水の効果で攻撃力がアップします。
SKILL_20150317_001585	攻撃力 +#{CaptionRatio}#%アップ{nl}スキルレベルごとに0.4%追加攻撃力アップ{nl}持続時間 120秒{nl}消費SP #{SpendSP}#
SKILL_20150317_001586	周辺の敵に強力な中毒攻撃を行います。
SKILL_20150317_001587	味方の最大HPをアップさせる魔法陣を描きます。
SKILL_20150317_001588	最大体力 +#{CaptionRatio}#%アップ{nl}持続時間 90秒{nl}消費SP #{SpendSP}#
SKILL_20150317_001589	PTメンバーにフィーバータイム開始
SKILL_20150317_001590	対象の霊魂を取り出す。
SKILL_20150317_001591	ノックバック距離#{CaptionRatio}#、スプラッシュ#{SkillSR}#{nl}消費SP #{SpendSP}#
SKILL_20150317_001592	テストスキル
SKILL_20150317_001593	神託を下して、周辺のすべてのモンスターがしばらくの間、pcを攻撃できないようにする。
SKILL_20150317_001594	周囲の味方の体力を持続的に回復させる。
SKILL_20150317_001595	自分が攻撃されたら一定の確率で周辺の敵にデバフをかける。
SKILL_20150317_001596	PTメンバーが使用中のスキルクールダウンを n%ダウンさせる。
SKILL_20150317_001597	気絶
SKILL_20150317_001598	行動不可
SKILL_20150317_001599	恐怖
SKILL_20150317_001600	しばらくの間、動きが止まり、攻撃力がダウンする。
SKILL_20150317_001601	出血
SKILL_20150317_001602	1.5秒ごとに出血ダメージを与えます。
SKILL_20150317_001603	過多出血
SKILL_20150317_001604	強い出血ダメージを与えます。
SKILL_20150317_001605	疾走
SKILL_20150317_001606	15秒間、素早く動きます。
SKILL_20150317_001607	回復
SKILL_20150317_001608	1秒ごとHP、SP 5%ずつ回復
SKILL_20150317_001609	発見
SKILL_20150317_001610	発見。
SKILL_20150317_001611	休憩
SKILL_20150317_001612	HP、SP、STA回復量がアップします。
SKILL_20150317_001613	安全
SKILL_20150317_001614	安全。
SKILL_20150317_001615	冷気
SKILL_20150317_001616	移動速度ダウン。
SKILL_20150317_001617	氷結
SKILL_20150317_001618	冷気で凍ります。
SKILL_20150317_001619	発火
SKILL_20150317_001620	ついていた油のせいで火がつきました。
SKILL_20150317_001621	復活後遺症
SKILL_20150317_001622	復活後遺症状態です。ほとんどの戦闘能力がダウンします。
SKILL_20150317_001623	移動速度アップ
SKILL_20150317_001624	移動速度アップ。
SKILL_20150317_001625	衝撃波
SKILL_20150317_001626	火炎
SKILL_20150317_001627	周期的に火炎ダメージを受ける。
SKILL_20150317_001628	ホールド
SKILL_20150317_001629	移動不可
SKILL_20150317_001630	移動速度固定
SKILL_20150317_001631	暗黒
SKILL_20150317_001632	視野を妨害される。
SKILL_20150317_001633	士気バフ
SKILL_20150317_001634	攻撃力アップ
SKILL_20150317_001635	猛毒
SKILL_20150317_001636	周期的に毒ダメージを受ける。
SKILL_20150317_001637	感染性猛毒
SKILL_20150317_001638	攻撃力ダウン。周期的に毒ダメージを受ける。周辺の対象に効果が広まる。
SKILL_20150317_001639	回避
SKILL_20150317_001640	回避。
SKILL_20150317_001641	防御衝撃
SKILL_20150317_001642	攻撃が相手の防御にガードされ、衝撃状態になります。敵の攻撃がクリティカルで命中する確率が100%アップします。
SKILL_20150317_001643	石化
SKILL_20150317_001644	石化。
SKILL_20150317_001645	強化忍耐
SKILL_20150317_001646	受けるダメージ20%ダウン。
SKILL_20150317_001647	生ける炎
SKILL_20150317_001648	敵を追跡して爆発。
SKILL_20150317_001649	吹雪。
SKILL_20150317_001650	冷気触発
SKILL_20150317_001651	冷気攻撃力アップ。
SKILL_20150317_001652	炎上
SKILL_20150317_001653	鎮静
SKILL_20150317_001654	一瞬落ち着いて動きを止める。
SKILL_20150317_001655	中毒
SKILL_20150317_001656	攻撃力が上昇し、防御力がダウンします。
SKILL_20150317_001657	透明
SKILL_20150317_001658	透明な状態。
SKILL_20150317_001659	3秒ごとに生命力回復。
SKILL_20150317_001660	モンスターホールド
SKILL_20150317_001661	モンスターホールドスクリプト連携
SKILL_20150317_001662	攻撃力アップ
SKILL_20150317_001663	攻撃力と回避数値ダウン
SKILL_20150317_001664	SP、スタミナアップ
SKILL_20150317_001665	SP、スタミナ回復量アップ
SKILL_20150317_001666	攻撃力と防御力がダウンします。
SKILL_20150317_001667	怒り
SKILL_20150317_001668	怒り状態になります。知能と物理防御力、魔法防御力がダウンし、力、物理攻撃力、移動速度がアップします。
SKILL_20150317_001669	対象に呪いをかけました。
SKILL_20150317_001670	自然回復が不可能になり、魔法防御力がダウン
SKILL_20150317_001671	中毒のオーラ
SKILL_20150317_001672	周辺の敵に毒を広めます。走行、アイテム使用が制限されます。
SKILL_20150317_001673	成長
SKILL_20150317_001674	混乱
SKILL_20150317_001675	敵と味方を区別できなくなります。
SKILL_20150317_001676	硬直
SKILL_20150317_001677	プレイヤー RAISEUP
SKILL_20150317_001678	敵に攻撃される度に攻撃力がアップし、防御力がダウンします。
SKILL_20150317_001679	凍結
SKILL_20150317_001680	アクターFrozen
SKILL_20150317_001681	陣営破壊
SKILL_20150317_001682	防御力がダウンします。
SKILL_20150317_001683	吸引
SKILL_20150317_001684	反射
SKILL_20150317_001685	スキル追加中
SKILL_20150317_001686	犠牲
SKILL_20150317_001687	生気交換
SKILL_20150317_001688	HPとSPを交換する、10秒間MHPの50% シールド生成
SKILL_20150317_001689	停止
SKILL_20150317_001690	移動速度アップ
SKILL_20150317_001691	移動速度が大幅にアップ
SKILL_20150317_001692	イオン
SKILL_20150317_001693	対象除外周辺ダメージ
SKILL_20150317_001694	バフ適用中、対象が攻撃した回数ほど追加ダメージ
SKILL_20150317_001695	防具破壊
SKILL_20150317_001696	防御力が0になります。
SKILL_20150317_001697	ダメージデバフ
SKILL_20150317_001698	バフ終了時点でテイクダメージ
SKILL_20150317_001699	キャラクターを隠す(動画用)
SKILL_20150317_001700	テレキネシスで敵を捕まえる
SKILL_20150317_001701	テレキネシスによって捕まった状態
SKILL_20150317_001702	リフレクトシールド
SKILL_20150317_001703	一定時間、すべての攻撃を反射します。
SKILL_20150317_001704	FeverTime！コンボ当たり攻撃力 5アップ
SKILL_20150317_001705	恐怖と混乱発生
SKILL_20150317_001706	フルフル効果
SKILL_20150317_001707	恐怖発生
SKILL_20150317_001708	油まみれ
SKILL_20150317_001709	炎属性で攻撃されたら大変なことになります。
SKILL_20150317_001710	移動速度がアップします。
SKILL_20150317_001711	ホーリーオーラ
SKILL_20150317_001712	新しく受けたバフを味方に分ける。
SKILL_20150317_001713	フォグ
SKILL_20150317_001714	命中率をダウンさせます。
SKILL_20150317_001715	箱隠れ
SKILL_20150317_001716	箱の中に隠れています。
SKILL_20150317_001717	出血状態です。
SKILL_20150317_001718	パリング
SKILL_20150317_001719	移動速度がダウンします。
SKILL_20150317_001720	この状態の敵を倒せば、力と知能が一時的にアップする。
SKILL_20150317_001721	攻撃力がアップします。
SKILL_20150317_001722	防御力がアップします。
SKILL_20150317_001723	北斗の陣
SKILL_20150317_001724	挑発
SKILL_20150317_001725	攻撃する度、自分の威嚇水準がアップします。
SKILL_20150317_001726	相手の挑発に乗ってしまった！
SKILL_20150317_001727	防御力がダウンします。
SKILL_20150317_001728	間もなくダメージを受ける。
SKILL_20150317_001729	持続的に火炎ダメージを受ける状態です。
SKILL_20150317_001730	近くにいるPTメンバーの力ステータスがアップします。
SKILL_20150317_001731	近くにいるPTメンバーの移動速度と最大体力がアップします。
SKILL_20150317_001732	ファイアピラー
SKILL_20150317_001733	失明状態です。
SKILL_20150317_001734	感染
SKILL_20150317_001735	感染状態です。
SKILL_20150317_001736	移動不可
SKILL_20150317_001737	動くことができません。
SKILL_20150317_001738	移動速度ダウン
SKILL_20150317_001739	出血毒
SKILL_20150317_001740	物理属性の追加ダメージを受ける状態です。
SKILL_20150317_001741	神経毒
SKILL_20150317_001742	魔法属性の追加ダメージを受ける状態です。
SKILL_20150317_001743	急所強打
SKILL_20150317_001744	体力が回復します。
SKILL_20150317_001745	神聖ダメージを受けます。
SKILL_20150317_001746	ブレス
SKILL_20150317_001747	敏捷ステータスがアップします。
SKILL_20150317_001748	防御力がダウンします。
SKILL_20150317_001749	状態異常を順番に治療します。
SKILL_20150317_001750	持続的に神聖ダメージを受ける状態です。
SKILL_20150317_001751	体力回復速度がアップします。
SKILL_20150317_001752	聖水洗礼
SKILL_20150317_001753	聖属性攻撃力付与
SKILL_20150317_001754	リミテーション
SKILL_20150317_001755	一時的に最大体力がアップします。
SKILL_20150317_001756	ヴェノム
SKILL_20150317_001757	味方のバフ持続時間が停止します。
SKILL_20150317_001758	ヘキシングになった敵にダメージを与えます。
SKILL_20150317_001759	麻痺状態です。
SKILL_20150317_001760	生命の光
SKILL_20150317_001761	スウェルボディ状態です。
SKILL_20150317_001762	すべての攻撃を反射します。
SKILL_20150317_001763	移動速度ダウン
SKILL_20150317_001764	神聖のオーラ
SKILL_20150317_001765	物理、魔法防御力がアップ
SKILL_20150317_001766	腕が大きくなっている。
SKILL_20150317_001767	ぐるん
SKILL_20150317_001768	ぐるぐる
SKILL_20150317_001769	攻撃不能状態
SKILL_20150317_001770	懸賞金
SKILL_20150317_001771	自分の威嚇水準がアップします。
SKILL_20150317_001772	くるくる
SKILL_20150317_001773	盾を立てて歩きます。
SKILL_20150317_001774	体力オーラ
SKILL_20150317_001775	HP回復力がアップします。
SKILL_20150317_001776	サイズが縮小した状態です。
SKILL_20150317_001777	オウム
SKILL_20150317_001778	敵の回避能力を無視しますが、クリティカル発生、クリティカル回避が低くなっている状態です。
SKILL_20150317_001779	ノックダウンパワーアップ
SKILL_20150317_001780	時間停止状態です。
SKILL_20150317_001781	最大体力がダウンし、攻撃力がアップします。
SKILL_20150317_001782	攻撃ダメージアップ
SKILL_20150317_001783	ノックダウン、ノックバック抵抗状態です。
SKILL_20150317_001784	身を隠している敵を見つけることができます。
SKILL_20150317_001785	装備投擲
SKILL_20150317_001786	装備を投げた状態です。
SKILL_20150317_001787	左手装備を隠す
SKILL_20150317_001788	左手装備隠す
SKILL_20150317_001789	右手装備を隠す
SKILL_20150317_001790	右手装備隠す
SKILL_20150317_001791	敵を槍に刺している状態です。
SKILL_20150317_001792	槍に刺さっている状態です。
SKILL_20150317_001793	倒すとゾンビになります。
SKILL_20150317_001794	体力が持続的にダウンします。
SKILL_20150317_001795	ゾンビを爆発させます。
SKILL_20150317_001796	射程距離が長くなり、攻撃力がアップします。
SKILL_20150317_001797	スウィフトステップ
SKILL_20150317_001798	攻撃中、移動速度が少しアップします。
SKILL_20150317_001799	火炎ダメージを受けます。
SKILL_20150317_001800	スプラッシュがアップします。
SKILL_20150317_001801	SP消耗量がダウンします。
SKILL_20150317_001802	クリティカル発生アップ、回避ダウン
SKILL_20150317_001803	アンディスタンス発生中
SKILL_20150317_001804	ディヴァインマイト
SKILL_20150317_001805	スキルのレベルが一時的にアップします。
SKILL_20150317_001806	次に使用するスキルのパワーがダウンします。
SKILL_20150317_001807	次に使用するスキルの攻撃力がアップします。
SKILL_20150317_001808	隠身状態です。
SKILL_20150317_001809	スキルのクールタイムをダウンさせます。
SKILL_20150317_001810	防御力、ブロック率がアップします。
SKILL_20150317_001811	サブウェポンキャンセル
SKILL_20150317_001812	睡眠状態です。
SKILL_20150317_001813	突属性攻撃が強化されます。
SKILL_20150317_001814	防御力と回避率がダウンします。
SKILL_20150317_001815	キャスティングスキル使用時、キャスティングがキャンセルされません。
SKILL_20150317_001816	次のキャスティングスキルのキャスティング速度が速くなります。
SKILL_20150317_001817	衝撃
SKILL_20150317_001818	知能、精神力がダウン状態です。
SKILL_20150317_001819	クリティカル攻撃力アップ
SKILL_20150317_001820	クリティカル抵抗ダウン
SKILL_20150317_001821	ディヴァインスティグマバフ
SKILL_20150317_001822	ステータスアップ状態です。
SKILL_20150317_001823	効果持続中、少量のHPが回復します。
SKILL_20150317_001824	倒すと復活します。
SKILL_20150317_001825	攻撃速度がアップします。
SKILL_20150317_001826	ムービングショットon
SKILL_20150317_001827	移動攻撃中です。
SKILL_20150317_001828	沈黙状態です。
SKILL_20150317_001829	知能ステータスと体力ステータスを交換します。
SKILL_20150317_001830	自分が受けられるバフの数がアップします。
SKILL_20150317_001831	攻撃力がアップし、攻撃速度がダウンします。
SKILL_20150317_001832	アイスブラスト
SKILL_20150317_001833	氷属性のダメージを受けます。
SKILL_20150317_001834	炎、氷、雷属性抵抗力がアップします。
SKILL_20150317_001835	改宗状態です。
SKILL_20150317_001836	悪魔型モンスターが即死します。
SKILL_20150317_001837	攻撃力強化
SKILL_20150317_001838	一時的に攻撃力がアップします。
SKILL_20150317_001839	1回クリティカルアップ
SKILL_20150317_001840	次の攻撃 1回のクリティカル発生率がアップします。
SKILL_20150317_001841	防御力アップ
SKILL_20150317_001842	力ダウン
SKILL_20150317_001843	力がダウンします。
SKILL_20150317_001844	神聖
SKILL_20150317_001845	神聖攻撃力追加
SKILL_20150317_001846	防御力ダウン
SKILL_20150317_001847	敏捷が一時的に大幅アップ
SKILL_20150317_001848	精神体攻撃：防御力ダウン
SKILL_20150317_001849	火炎攻撃力アップ。
SKILL_20150317_001850	突きダメージアップ
SKILL_20150317_001851	エンチャントファイア
SKILL_20150317_001852	炎属性抵抗力がダウン状態です。
SKILL_20150317_001853	火炎攻撃力がアップ状態です。
SKILL_20150317_001854	激怒
SKILL_20150317_001855	ダメージアップ、sp消耗量アップ
SKILL_20150317_001856	ハングマンズノット：スプラッシュ
SKILL_20150317_001857	チャージ中-回避
SKILL_20150317_001858	グラビティポール：防御ダウン
SKILL_20150317_001859	毒状態を解除します。
SKILL_20150317_001860	ニードルブロー毒
SKILL_20150317_001861	持続的な毒ダメージを受けます。
SKILL_20150317_001862	毒状態の敵を混乱させます。
SKILL_20150317_001863	高抗毒
SKILL_20150317_001864	飛行体を引き下ろす。
SKILL_20150317_001865	飛行型モンスターを引き下ろします。
SKILL_20150317_001866	アンバランス
SKILL_20150317_001867	しばらくの間、敵が無防備状態になり、ノックダウン攻撃に弱くなります。
SKILL_20150317_001868	敵のコンパニオンに噛みつかれている。矢攻撃に弱くなる。
SKILL_20150317_001869	防御力が上昇し、攻撃力がダウンします。
SKILL_20150317_001870	突き攻撃に弱くなります。
SKILL_20150317_001871	笛を演奏します。
SKILL_20150317_001872	笛の音色…何だかついて行きたくなる
SKILL_20150317_001873	ムルミロ
SKILL_20150317_001874	スタンス転換状態です。
SKILL_20150317_001875	レベルアップ
SKILL_20150317_001876	敵のコンパニオンが注視している。とても気になる。
SKILL_20150317_001877	分身
SKILL_20150317_001878	大頭　
SKILL_20150317_001879	頭が大きくなる…
SKILL_20150317_001880	転送されたステータスを取得している状態です。
SKILL_20150317_001881	ステータス転送状態です。
SKILL_20150317_001882	力、体力、知能、精神、敏捷ステータスがダウンします。
SKILL_20150317_001883	拘束
SKILL_20150317_001884	動くことができず、持続的なダメージを受けます。
SKILL_20150317_001885	爆弾が爆発し、周辺にダメージを与えます。
SKILL_20150317_001886	基本攻撃が連続して適用されます。
SKILL_20150317_001887	最大SPと最大STAアップ
SKILL_20150317_001888	魔法無効およびデバフ除去
SKILL_20150317_001889	コンパニオンが敵にしつこくつきまとう。
SKILL_20150317_001890	敵の攻撃を防御。
SKILL_20150317_001891	コンパニオンが隠れている敵を探しまわる。
SKILL_20150317_001892	力アップ
SKILL_20150317_001893	力がアップ
SKILL_20150317_001894	体力アップ
SKILL_20150317_001895	体力がアップ
SKILL_20150317_001896	INTアップ
SKILL_20150317_001897	知能がアップ
SKILL_20150317_001898	敏捷アップ
SKILL_20150317_001899	敏捷がアップ
SKILL_20150317_001900	破壊の力
SKILL_20150317_001901	守護の力
SKILL_20150317_001902	防御力アップ
SKILL_20150317_001903	スーパーマリオ
SKILL_20150317_001904	スーパーマリオバフ
SKILL_20150317_001905	女神の浄化
SKILL_20150317_001906	攻撃能力喪失
SKILL_20150317_001907	SP回復
SKILL_20150317_001908	SPが回復
SKILL_20150317_001909	HP回復
SKILL_20150317_001910	HPが回復
SKILL_20150317_001911	メドゥーサ
SKILL_20150317_001912	一定時間、STAが消耗されない
SKILL_20150317_001913	カフリサンの力
SKILL_20150317_001914	攻撃時、+12 地属性固定ダメージ追加
SKILL_20150317_001915	HP、SP、スタミナの回復量と回復速度がアップ
SKILL_20150317_001916	5秒間、1秒ごとにHPを200回復
SKILL_20150317_001917	HP SP回復
SKILL_20150317_001918	HP、SPが回復
SKILL_20150317_001919	クールタイム 50%ダウン
SKILL_20150317_001920	ガイガラスカード発動
SKILL_20150317_001921	持続的にダメージを受ける状態です。
SKILL_20150317_001922	ポアタカード発動
SKILL_20150317_001923	メリナスセルシシアカード発動
SKILL_20150317_001924	ザーリアスウッドスピリットカード発動
SKILL_20150317_001925	地属性抵抗力がアップします。
SKILL_20150317_001926	チェイファーカード発動
SKILL_20150317_001927	アボミネーションカード発動
SKILL_20150317_001928	変異型モンスターに対する攻撃力がアップします。
SKILL_20150317_001929	ウッドスピリットカード発動
SKILL_20150317_001930	HPが持続的に回復します。
SKILL_20150317_001931	マグバークカード発動
SKILL_20150317_001932	炎属性抵抗力がアップします。
SKILL_20150317_001933	デッドボーンカード発動
SKILL_20150317_001934	デノプティックカード発動
SKILL_20150317_001935	モルディホーンカード発動
SKILL_20150317_001936	トゥームロードカード発動
SKILL_20150317_001937	すべての抵抗力がアップします。
SKILL_20150317_001938	マッシュカリアカード発動
SKILL_20150317_001939	ギンクラスカード発動
SKILL_20150317_001940	持続的にダメージを受ける状態です。
SKILL_20150317_001941	ヴェローチャードカード発動
SKILL_20150317_001942	回避がアップします。
SKILL_20150317_001943	ジャック・オー・ランタンカード発動
SKILL_20150317_001944	悪魔型モンスターに対する攻撃力がアップします。
SKILL_20150317_001945	スパルナスカード発動
SKILL_20150317_001946	クリティカルダメージがアップします。
SKILL_20150317_001947	リカウスカード発動
SKILL_20150317_001948	SPが持続的に回復します。
SKILL_20150317_001949	ケルベロスカード発動
SKILL_20150317_001950	炎属性攻撃力がアップします。
SKILL_20150317_001951	キャラパスカード発動
SKILL_20150317_001952	ヒュージゾーレムカード発動
SKILL_20150317_001953	闇属性攻撃力がアップします。
SKILL_20150317_001954	ケッピーチーフテンカード発動
SKILL_20150317_001955	エラガノスカード発動
SKILL_20150317_001956	アンボ、リム攻撃力がアップします。
SKILL_20150317_001957	仁王立ち
SKILL_20150317_001958	敵の攻撃に倒れません。
SKILL_20150317_001959	ヒドラの猛毒
SKILL_20150317_001960	凍りついた足
SKILL_20150317_001961	移動速度がダウンします。
SKILL_20150317_001962	腐敗
SKILL_20150317_001963	魔法拒否
SKILL_20150317_001964	コンパニオンに搭乗している状態です。
SKILL_20150317_001965	主人を乗せる
SKILL_20150317_001966	HPポーションブースター
SKILL_20150317_001967	HPポーションクールダウンが減少します。{nl}(1レベルにつき10%ずつダウン)
SKILL_20150317_001968	SPポーションブースター
SKILL_20150317_001969	SPポーションクールダウンが減少します。{nl}(1レベルにつき10%ずつダウン)
SKILL_20150317_001970	ソードマスタリ
SKILL_20150317_001971	ソード系アイテムを上手に扱います。{nl}(ソード系アイテム着用時、1レベルにつきダメージ5%アップ)
SKILL_20150317_001972	スタッフマスタリ
SKILL_20150317_001973	スタッフ系アイテムを上手に扱います。{nl}(スタッフ系アイテム着用時、1レベルにつきダメージ5%アップ)
SKILL_20150317_001974	ボウマスタリ
SKILL_20150317_001975	ボウ系アイテムを上手に扱います。{nl}(ボウ系アイテム着用時、1レベルにつきダメージ5%アップ)
SKILL_20150317_001976	メイスマスタリ
SKILL_20150317_001977	メイス系アイテムを上手に扱います。{nl}(メイス系アイテム着用時、1レベルにつきダメージ5%アップ)
SKILL_20150317_001978	生存本能
SKILL_20150317_001979	体力が40%以下の場合、攻撃力がアップします。{nl}1レベルのみ具現済み。一度だけ習得してください。
SKILL_20150317_001980	アイススピア
SKILL_20150317_001981	氷結状態の敵をアイスボルトで攻撃時、ダメージが追加されます。{nl}(1レベルにつき25%ずつ追加)
SKILL_20150317_001982	破裂の一撃
SKILL_20150317_001983	打撃属性で攻撃時、一定の確率で周辺の敵に爆発ダメージを与えます。{nl}(1レベルにつき5%の確率で発動)
SKILL_20150317_001984	破裂
SKILL_20150317_001985	鈍器アイテム使用時、鎖防具タイプの敵に対するダメージがアップします。{nl}(1レベルにつき20%ずつアップ)
SKILL_20150317_001986	克服
SKILL_20150317_001987	剣アイテム使用時、クリティカル率がアップします。{nl}(1レベルにつきクリティカル率 10%ずつアップ)
SKILL_20150317_001988	ジャンプ
SKILL_20150317_001989	ジャンプをすることができます。[X]キーを押すとジャンプをします。
SKILL_20150317_001990	クイックステップ
SKILL_20150317_001991	素早く移動することができます。[Shift]キーを押している状態で方向キーを押すと該当方向にクイックステップ移動を行います。気力を消耗します。
SKILL_20150317_001992	ダッシュ
SKILL_20150317_001993	走ることができます。方向キーを2回押すと走り始めます。
SKILL_20150317_001994	メディテーション
SKILL_20150317_001995	SP回復量がアップします。{nl}(レベル x 最大気力の1%ずつアップ)
SKILL_20150317_001996	再生
SKILL_20150317_001997	HP回復量がアップします。{nl}(レベル x 最大体力の1%ずつアップ)
SKILL_20150317_001998	閃き
SKILL_20150317_001999	防御等級がアップします。{nl}(レベル x 10ずつアップ)
SKILL_20150317_002000	一定の確率で強打によるダメージを受けた敵が5秒間、気絶します。
SKILL_20150317_002001	トラバース
SKILL_20150317_002002	短距離を素早い速度で移動します。使用する度にスタミナを消費します。方向キーを2回押して使用します。-- スクワイア特性
SKILL_20150317_002003	Lv.1 STA消耗量 4
SKILL_20150317_002004	シールドヒーター
SKILL_20150317_002005	パリングスキル使用中に自分を攻撃した敵に打撃を反射します。(反射ダメージは防御力と特性レベルに比例してアップする)
SKILL_20150317_002006	震怒
SKILL_20150317_002007	メイスアイテムで敵を攻撃すれば一定確率でスタン効果が発生します。{nl}(1レベルにつき10%ずつアップ)
SKILL_20150317_002008	Lv.1 スタン確率10%、3秒持続Lv.2 スタン確率20%、4秒持続Lv.3 スタン確率30%、5秒持続
SKILL_20150317_002009	直感
SKILL_20150317_002010	出血状態の敵に突きスキル使用時、一定確率でクリティカルが発動します。{nl}(基本 30% + 1レベルにつき5%ずつ追加)
SKILL_20150317_002011	切断
SKILL_20150317_002012	オーバーキルに成功した後、1回攻撃に限り、10秒間ダメージが2倍で適用されます。.
SKILL_20150317_002013	警戒
SKILL_20150317_002014	体力が15%未満のとき、移動速度がアップします。
SKILL_20150317_002015	ツーハンドソードマスタリ
SKILL_20150317_002016	武器を上手に扱います。両手剣着用時、自分の物理攻撃力がアップします。
SKILL_20150317_002017	Lv.1攻撃力 #{IncrValue1}#%適用{nl}Lv.2攻撃力 #{IncrValue1}#%適用{nl}Lv.3攻撃力 #{IncrValue1}#%適用
SKILL_20150317_002018	ウィッピングトップ
SKILL_20150317_002019	旋風の回転時間がアップします。
SKILL_20150317_002020	Lv.1 回転時間 #{IncrValue1}#秒アップ{nl} Lv.2 回転時間 #{IncrValue1}#秒アップ
SKILL_20150317_002021	ネザーウェブ
SKILL_20150317_002022	テレキネシスでホールド攻撃回数がアップします。{nl}(レベル分アップ)
SKILL_20150317_002023	イグナイト
SKILL_20150317_002024	スロー状態の敵にファイアボール攻撃時、ダメージが2倍で適用されます。
SKILL_20150317_002025	スピアブロースキルスタン確率追加。{nl}(1レベルにつき5%ずつアップ)
SKILL_20150317_002026	奇襲
SKILL_20150317_002027	スタン状態の敵を攻撃時、一定確率で追加ダメージを与えます。{nl}(基本 30% + 1レベルにつき5%ずつ追加)
SKILL_20150317_002028	集中
SKILL_20150317_002029	最大射程距離周辺にいる敵を攻撃時、一定確率でクリティカルが発動します。{nl}(基本 50% + 1レベルにつき5%ずつ追加)
SKILL_20150317_002030	自活力
SKILL_20150317_002031	自分が適用したポーションバフ持続時間がアップします。{nl}(1レベルにつき5%ずつアップ)
SKILL_20150317_002032	ストライク
SKILL_20150317_002033	ノックバックによる衝突ダメージを受けた敵が再ノックバックし、追加ダメージを与えます。
SKILL_20150317_002034	乱打
SKILL_20150317_002035	旋風使用中、モンスターノックバック距離が縮みます。
SKILL_20150317_002036	力能力値がアップします。近接物理攻撃力に影響を与えます。
SKILL_20150317_002037	敏捷能力値がアップします。遠距離物理攻撃力とクリティカル発生率および回避率に影響を与えます。
SKILL_20150317_002038	体力能力値がアップします。生命力と気力の最大値に影響を与えます。
SKILL_20150317_002039	知能アップ
SKILL_20150317_002040	知能能力値がアップします。精神力の最大値と魔法攻撃力に影響を与えます。
SKILL_20150317_002041	均衡
SKILL_20150317_002042	デアデビルスキル抵抗確率アップ。{nl}(1レベルにつき5%ずつアップ)
SKILL_20150317_002043	撃破
SKILL_20150317_002044	アンボブロースキルノックダウンパワーアップ。{nl}(1レベルにつき50ずつアップ)
SKILL_20150317_002045	鋭利な槍先
SKILL_20150317_002046	スピアブロースキル出血確率追加。{nl}(1レベルにつき5%ずつアップ)
SKILL_20150317_002047	ワイヤーロープ
SKILL_20150317_002048	遠心力
SKILL_20150317_002049	器用さ
SKILL_20150317_002050	戦慄
SKILL_20150317_002051	[スワッシュバックリング]スキルのクリティカル発生がアップします。 {nl}(1レベルにつき1%アップ)
SKILL_20150317_002052	スラスト：ノックバック距離
SKILL_20150317_002053	[スラスト]の押し出す力が特性レベル1につき50アップします。
SKILL_20150317_002054	スラスト：連打
SKILL_20150317_002055	[スラスト]使用すると特性レベル1につき1%の確率で連打が発動します。
SKILL_20150317_002056	バッシュ：スプラッシュ
SKILL_20150317_002057	[バッシュ]にスプラッシュが特性レベル1につき1追加されます。
SKILL_20150317_002058	デアデビル：防御残存
SKILL_20150317_002059	[デアデビル]を使用して残りの防御力が1レベルにつき5%残ります。
SKILL_20150317_002060	バッシュ：ノックダウン
SKILL_20150317_002061	[バッシュ]攻撃を受けた敵がノックダウンします。
SKILL_20150317_002062	コンセントレイト：スタン
SKILL_20150317_002063	[コンセントレイト]が活性化している間に攻撃時、特性レベル1につき2%の確率で敵が[スタン]状態になります。
SKILL_20150317_002064	リストレイン：持続時間
SKILL_20150317_002065	[リストレイン]の持続時間が1レベルにつき5秒アップします。
SKILL_20150317_002066	スラスト：クリティカル率
SKILL_20150317_002067	[スラスト]のクリティカル率がレベル1につき10%アップします。
SKILL_20150317_002068	スワッシュバックリング：最大HP
SKILL_20150317_002069	[スワッシュバックリング]が活性化している間、キャラクターの最大HPが特性レベル1につき5%アップします。
SKILL_20150317_002070	スワッシュバックリング：範囲
SKILL_20150317_002071	[スワッシュバックリング]の挑発範囲が1レベルにつき0.2mアップします。
SKILL_20150317_002072	アンボブロー：スタン
SKILL_20150317_002073	[アンボブロー]攻撃を受けた敵が特性レベル1につき5%の確率でスタン状態になります。
SKILL_20150317_002074	シールドロブ：スプラッシュ
SKILL_20150317_002075	[シールドロブ]にスプラッシュが特性レベル1につき1追加されます。
SKILL_20150317_002076	シールドマスタリ
SKILL_20150317_002077	[盾着用]時、ブロックが特性レベル1につき5%アップします。
SKILL_20150317_002078	ペルタスタ：ガード
