UI_20150317_000001	{@st41b}各クラスのマスターのところで{nl}特性を習得できます。{/}
UI_20150317_000519	{@st59b}クエスト{nl}{@st59s} - クエストを獲得するとクエストアラームに登録{nl} - メインクエストは黄色、サブクエストは青で表示{nl} - キャラクターの足元の矢印でクエストの位置を表示{nl} - クエスト完了時にはクエストアラームに「戻る」アイコンが表示{nl}  (バックスペースや右クリックで完了NPCのところまで瞬間移動){nl} - クエストアラームに登録/解除する場合は、クエスト名の前のチェックボックスで選択{/}
UI_20150317_000520	{@st41b}  進行  {/}
UI_20150317_000521	{@st41b}  放棄  {/}
UI_20150317_000522	{@st43}{s22}クエスト情報{/}
UI_20150317_000523	任務完了
UI_20150317_000524	{@st41}完了{/}
UI_20150317_000525	任務進行情報
UI_20150317_000526	{s18}{ol}クエスト情報
UI_20150317_000527	{s16}残りの時間
UI_20150317_000528	クエストアイテム使用
UI_20150317_000529	クエストのヒント
UI_20150317_000530	{@st41}確認{/}
UI_20150317_000531	{@st43}{s22}クエスト完了{/}
UI_20150317_000532	{@st41b}完了{/}
UI_20150317_000533	{@st41}受諾{/}
UI_20150317_000534	{@st41}拒絶{/}
UI_20150317_000535	{@st44}戻る{/}
UI_20150317_000536	どのクエストに戻りますか？
UI_20150317_000537	{@st41b}クエスト クラス 名前{/}
UI_20150317_000538	{@st59}スロットを拡張します{/}
UI_20150317_000539	{@st59}スロットを縮小します{/}
UI_20150317_000540	{@st59}コンパニオンを召喚します。{/}
UI_20150317_000541	{@st44}メニュー{/}
UI_20150317_000542	{@st60}キャラクター選択{/}
UI_20150317_000543	{@st60}ログアウト{/}
UI_20150317_000544	{@st60}ゲーム終了{/}
UI_20150317_000545	{@st60}ゲーム設定{/}
UI_20150317_000546	{@st60}戻る{/}
UI_20150317_000547	{@st41}チュートリアルスキップ{/}
UI_20150317_000548	{@st41}キャラクター選択{/}
UI_20150317_000549	{@st41}ログアウト{/}
UI_20150317_000550	{@st41}ゲーム終了{/}
UI_20150317_000551	{@st41}戻る{/}
UI_20150317_000552	{@st43}{s22}レイド召集！
UI_20150317_000553	{@st41b}郊外の城にモンスターたちが押し寄せてきています。この問題を解決できるのはあなたしかいません。
UI_20150317_000554	{@st43}{s22}ゲーム設定{/}
UI_20150317_000555	{@sti7}レイドPT検索中…{/}
UI_20150317_000556	{@st41b}参加取消
UI_20150317_000557	{@st41b}私がなんとかします！
UI_20150317_000558	{@st41b}私にはできません。
UI_20150317_000559	{@sti7}{s24}レイド報酬選択{/}
UI_20150317_000560	{@st42b}残りの時間 {@st43}%s{@st42b}秒{/}
UI_20150317_000561	{@st41b}選択回数を増やす
UI_20150317_000562	{@43b}{s22}選択可能回数 : {@st43}%s{/}
UI_20150317_000563	shadow_box 暫定除去
UI_20150317_000564	{@st43}ランキング{/}
UI_20150317_000565	{@st59}ランキングウィンドウを閉じます{/}
UI_20150317_000566	{@st41}モンスターキル Top 100{/}
UI_20150317_000567	{@st41}ダメージ Top 100{/}
UI_20150317_000568	{@st41}マネーマネー Top 100{/}
UI_20150317_000569	{@st41}レベルアップ Top 100{/}
UI_20150317_000570	{@st41b}メニュー{/}
UI_20150317_000571	{@st43}{s22}アイテム強化{/}
UI_20150317_000572	{@st41b}対象アイテム
UI_20150317_000573	{@st41b}金床
UI_20150317_000574	{@st41}{s20}金床打撃回数 :{@st43} %s
UI_20150317_000575	{@st41}{s20}強化価格 : %s
UI_20150317_000576	{@st41b}強化開始{/}
UI_20150317_000577	{@st59}アイテム強化を開始します。{/}
UI_20150317_000578	{@st59}強化を閉じます{/}
UI_20150317_000579	{@st41b}選択した{@sti9}%s個{/}のアイテムで強化しますか？{/}
UI_20150317_000580	{@st43}強化
UI_20150317_000581	{@st44}アイテム強化{/}
UI_20150317_000582	{s24}{b}{#000000}強化完了！
UI_20150317_000583	{@st41}再強化{/}
UI_20150317_000584	{@st41}閉じる{/}
UI_20150317_000585	{s18}{ol}{gr gradation1}装備修理{/}
UI_20150317_000586	  着用装備  
UI_20150317_000587	  所持装備  
UI_20150317_000588	{gr gradation1}全体選択{/}
UI_20150317_000589	全体選択
UI_20150317_000590	{gr gradation1}修理{/}
UI_20150317_000591	{@st43}修理{/}
UI_20150317_000592	要修理アイテムリスト
UI_20150317_000593	{@st41b}修理費用{/}
UI_20150317_000594	{@st41b}予想残額{/}
UI_20150317_000595	{@st41b}装備修理{/}
UI_20150317_000596	選択した装備を修理します。
UI_20150317_000597	{@st59}アイテム整備を閉じます{/}
UI_20150317_000598	{@st43}アイテム整備{/}
UI_20150317_000599	{@st41}要整備アイテムリスト{/}
UI_20150317_000600	{@st44}アイテム整備{/}
UI_20150317_000601	{@st42}整備{/}
UI_20150317_000602	{@st59}この内容で整備します。{/}
UI_20150317_000603	{@st59}整備しません。{/}
UI_20150317_000604	{@st44}再開{/}
UI_20150317_000605	{@st41b}あなたは{/}{s20}{#cc6600}{ol}戦闘不能{/}{@st41b}状態になりました！{/}
UI_20150317_000606	{@st41b}近くの復活地点から再開{/}
UI_20150317_000607	{@st41b}その場で再開(メダル %s個必要){/}
UI_20150317_000608	{@st41b}フィールドに復帰する{/}
UI_20150317_000609	{@st41b}クエストを放棄してやり直す{/}
UI_20150317_000610	{@st41b}再挑戦{/}
UI_20150317_000611	復活の聖地(70031)
UI_20150317_000612	アイテムが必要です
UI_20150317_000613	休息クイックスロット
UI_20150317_000614	{@st43}吹き出し{/}
UI_20150317_000615	臨時の名前
UI_20150317_000616	{@st41b}{s18}インベントリの空き不足
UI_20150317_000617	インベントリがいっぱいのため、アイテムを獲得できません。{nl}インベントリを整理してください。
UI_20150317_000618	{@st44}セットアイテム獲得！{/}
UI_20150317_000619	アイテムを選択してください
UI_20150317_000620	{@st59b}商店{nl}{@st59s} -アイテムを大量に購入する場合は、右クリックして個数を入力{nl} -アイテムを全量売却する場合は、ダブル右クリック{/}
UI_20150317_000621	{@st59}商店を閉じます{/}
UI_20150317_000622	{@st59}最初のページ{/}
UI_20150317_000623	{@st59}次のページ{/}
UI_20150317_000624	{@st59}最後のページ{/}
UI_20150317_000625	{@st41b}空にする{/}
UI_20150317_000626	{@st59}買い物かごを空にします{/}
UI_20150317_000627	{@st41b}清算{/}
UI_20150317_000628	{@st59}取引を決定します{/}
UI_20150317_000629	{@st43}商店{/}
UI_20150317_000630	{@st41b}購入アイテム{/}
UI_20150317_000631	{@st41b}売却アイテム{/}
UI_20150317_000632	{@st41b}取引清算 ▶{/}
UI_20150317_000633	{@st41b}予想残額 ▶{/}
UI_20150317_000634	{@st41b}自分が売却したアイテム{/}
UI_20150317_000635	{@st41}スロットを空にする{/}
UI_20150317_000636	{@st43}清算{/}
UI_20150317_000637	{@st41}取引清算{/}
UI_20150317_000638	{@st41}予想残額{/}
UI_20150317_000639	{@st41}購入アイテム{/}
UI_20150317_000640	{@sti1c}シモニー
UI_20150317_000641	{@st41}製造スキル
UI_20150317_000642	{@st42}レベル %s{/}
UI_20150317_000643	製造費用
UI_20150317_000644	製造数
UI_20150317_000645	約%s秒必要
UI_20150317_000646	{@st41}作る
UI_20150317_000647	{@st43}クラススキルと特性{/}
UI_20150317_000648	{@st59}クラスとスキルを閉じます{/}
UI_20150317_000649	{@st59b}クラス{nl}{@st59s} - クラスレベルが上がるとスキルポイントを獲得可能{nl} - クラスレベルが15になると転職可能{nl} - スキルポイントをすべて消費しないと転職できない{nl} - 転職時には同じクラスを含む3つのクラスからクラス選択可能{nl} - 同じクラスは3回まで選択可能{nl} - 他のクラスを選択したら、前のクラスには戻れない{nl}{@st59b}スキル{nl}{@st59s} - 各ランク別スキルは最大5レベルまでアップ可能{nl} - マスターから習得した特性はスキル下段で確認可能{/}
UI_20150317_000650	{@st41b}確定{/}
UI_20150317_000651	{@st59}ポイント配分を確定します{/}
UI_20150317_000652	クレリック
UI_20150317_000653	{@st59}ポイント配分を取り消します{/}
UI_20150317_000654	{#ff4400}%s (%sレベル){/} 学習中…
UI_20150317_000655	サイコヘスン
UI_20150317_000656	残り%s分
UI_20150317_000657	{@st43}ポーズ{/}
UI_20150317_000658	{@st59}ポーズを閉じます{/}
UI_20150317_000659	{@st41}掲示板{/}
UI_20150317_000660	{@st41}取引{/}
UI_20150317_000661	{@st41}コミュニティ機能{/}
UI_20150317_000662	{@st41b}コメント入力{/}
UI_20150317_000663	{@st41}登録{/}
UI_20150317_000664	{@st59}入力したコメントを登録します{/}
UI_20150317_000665	{@st41}マイページ開始{/}
UI_20150317_000666	{@st59}マイページを外部に掲示します{/}
UI_20150317_000667	{@st59}挨拶を登録します{/}
UI_20150317_000668	{@st41b}1. メニュー{/}
UI_20150317_000669	{@st41}訪問{/}
UI_20150317_000670	{@st59}マイページを訪問します{/}
UI_20150317_000671	{@st41}販売{/}
UI_20150317_000672	{@st59}アイテムを販売 します{/}
UI_20150317_000673	{@st43}生 活{/}
UI_20150317_000674	{@st59}生活を閉じます{/}
UI_20150317_000675	{@st41}全て表示{/}
UI_20150317_000676	{@st41}マップ作製{/}
UI_20150317_000677	{@st41}%s/分 (%s 保有){/}
UI_20150317_000678	キーボードウォーリア―
UI_20150317_000679	{@st42}%s{/}{@st42_yellow}レベル{/}
UI_20150317_000680	{@st41_yellow}雇用時間
UI_20150317_000681	{@st43}グラフィティ{/}
UI_20150317_000682	{@st59}スプレーを閉じます{/}
UI_20150317_000683	{@st41b}Tip : 下の枠の中に絵を描きます。{/}
UI_20150317_000684	{@st41b}色{/}
UI_20150317_000685	{@st41b}数{/}
UI_20150317_000686	{@st41b}ブラシ{/}
UI_20150317_000687	{@st43}描く{/}
UI_20150317_000688	{@st59}完成した絵を地面に描きます。{/}
UI_20150317_000689	{@st41b}{a SAVE_EDIT_SPRAY}保存{/}{/}
UI_20150317_000690	{@st59}描いている絵を保存します。{/}
UI_20150317_000691	{@st41b}{a LOAD_EDIT_SPRAY}読み込む{/}{/}
UI_20150317_000692	{@st59}描いた絵を読み込みます{/}
UI_20150317_000693	{@st59}選択した色1{/}
UI_20150317_000694	{@st59}選択した色2{/}
UI_20150317_000695	{@st59}色リスト{/}
UI_20150317_000696	{@st59}選択したブラシ{/}
UI_20150317_000697	{@st59}ブラシ1{/}
UI_20150317_000698	{@st59}ブラシ2{/}
UI_20150317_000699	{@st59}ブラシ3{/}
UI_20150317_000700	{@st59}ブラシ4{/}
UI_20150317_000701	{@st59}ブラシ5{/}
UI_20150317_000702	{@st59}ブラシ6{/}
UI_20150317_000703	{@st49}好きな人たち{/}
UI_20150317_000704	{s20}{#050505}とにかく説明
UI_20150317_000705	{@st41} 全体 {/}
UI_20150317_000706	{@st41} PT {/}
UI_20150317_000707	{@st41} モンスター {/}
UI_20150317_000708	{@st41b}{#f0dcaa}残りのステータスポイント ▶ {@st46}%s
UI_20150317_000709	{@st59b}自分の情報{nl}{@st59s} - ステータス : レベルアップによって手に入れたポイントを使って5種類の能力を強化{nl} - 情報 :アイテムとステータス能力値によるキャラクター能力値情報{nl} - 称号 : 業績を完了した時に獲得できる称号{nl}{/}
UI_20150317_000710	{@st41b}情報{/}
UI_20150317_000711	{@st41b}称号{/}
UI_20150317_000712	職業表示
UI_20150317_000713	キャラクター名表示
UI_20150317_000714	{@st59}キャラクター名を変更します{/}
UI_20150317_000715	{@st41b}確定
UI_20150317_000716	{@st59}ステータス分配を確定します{/}
UI_20150317_000717	{@st41b}取消
UI_20150317_000718	{@st59}ステータス分配を取消します{/}
UI_20150317_000719	PC名
UI_20150317_000720	{@st41_yellow}レベル: {@st41}%s{/}
UI_20150317_000721	{@st41_yellow}傭兵スキル
UI_20150317_000722	{@st43}攻撃効果{/}
UI_20150317_000723	{@st43}防御効果{/}
UI_20150317_000724	{@st43}ステータス{/}
UI_20150317_000725	systemmenu_vertical 暫定除去
UI_20150317_000726	{@st59}キャラクター情報 (F1){/}
UI_20150317_000727	{@st59}インベントリ (F2){/}
UI_20150317_000728	{@st59}スキルと特性 (F3){/}
UI_20150317_000729	{@st59}冒険日誌 (F4){/}
UI_20150317_000730	{@st59}クエスト (F5){/}
UI_20150317_000731	{@st59}PT (F6){/}
UI_20150317_000732	{@st59}フレンド (F7){/}
UI_20150317_000733	{@st59}チャット定型文 (F8){/}
UI_20150317_000734	{@st59}コンパニオン (F9){/}
UI_20150317_000735	{@st59}ヘルプ (F10){/}
UI_20150317_000736	{@st59}システムメニュー (Esc){/}
UI_20150317_000737	{@st59}ネクロノミコン{/}
UI_20150317_000738	ヘルプ(F1)
UI_20150317_000739	内容
UI_20150317_000740	詳細表示
UI_20150317_000741	{@st43}ゲーム設定{/}
UI_20150317_000742	{@st43}ゲーム{/}
UI_20150317_000743	{@st41b}経験値獲得量表記{/}
UI_20150317_000744	{@st41b}キャラクター名表示{/}
UI_20150317_000745	{@st41b}チーム名のみ表示{/}
UI_20150317_000746	{@st41b}クエストガイド表示{/}
UI_20150317_000747	{@st43}画面{/}
UI_20150317_000748	{@st43}グラフィック{/}
UI_20150317_000749	{@st41b}全画面{/}
UI_20150317_000750	{@st41b}ウィンドウモード{/}
UI_20150317_000751	{@st43}サウンド{/}
UI_20150317_000752	{@st41b}効果音の音量 (%s){/}
UI_20150317_000753	{@st41b}音楽の音量 (%s){/}
UI_20150317_000754	{@st41b}サウンド全体の音量 (%s){/}
UI_20150317_000755	{@st43}言語選択{/}
UI_20150317_000756	{@st59}ゲーム設定ウィンドウを閉じます{/}
UI_20150317_000757	{@st41b}最低仕様モード{/}
UI_20150317_000758	{@st41b}見る{/}
UI_20150317_000759	{@st59}製作スタッフ{/}
UI_20150317_000760	ターゲットバフウィンドウ
UI_20150317_000761	{@st46}IMCさんの絵
UI_20150317_000762	{@st46}%sさんの絵
UI_20150317_000763	{@st46}いいね
UI_20150317_000764	{@st46}通報
UI_20150317_000765	{@st46}保存剤使用
UI_20150317_000766	{@st46}絵を消す
UI_20150317_000767	スノーハレーション
UI_20150317_000768	花束
UI_20150317_000769	{@st41}プレゼント
UI_20150317_000770	数を入力してください
UI_20150317_000771	{@st53b}%s 勝 %s 敗
UI_20150317_000772	{@st42}今日のスケジュール
UI_20150317_000773	{@st53}開始まで :
UI_20150317_000774	{@st53b}もらったプレゼント : %s個
UI_20150317_000775	{@st43b}%sさんにプレゼント{/}
UI_20150317_000776	{@st55_a}次の試合
UI_20150317_000777	{@st53}- 名前をクリックすると観戦可能{nl}- 右クリックでプレゼント可能
UI_20150317_000778	カメラを自分のキャラクターへ
UI_20150317_000779	{@st55_a}優勝おめでとうございます！
UI_20150317_000780	{@st42}カメラ転換
UI_20150317_000781	{@st44}冒険日誌{/}
UI_20150317_000782	{@st59}表示方法を変更します{/}
UI_20150317_000783	{@st41} 統計 {/}
UI_20150317_000784	{@st41} 製造 {/}
UI_20150317_000785	{@st41} 狩り {/}
UI_20150317_000786	{@st41} ヘルプ {/}
UI_20150317_000787	{@st44}wikiページ{/}
UI_20150317_000788	{@st42}情報{/}
UI_20150317_000789	{@st42}詳細{/}
UI_20150317_000790	{@st42}戦闘{/}
UI_20150317_000791	{@st42}獲得{/}
UI_20150317_000792	{@st59}ページを閉じます{/}
UI_20150317_000793	{@st43}バトルフィールド
UI_20150317_000794	{@st59}バトルフィールドを閉じます。
UI_20150317_000795	(ブロンズ 3)
UI_20150317_000796	{@sti8}今日の獲得可能点数 : {nl}%s{/}
UI_20150317_000797	{@st41}ポイントショップ
UI_20150317_000798	{@st41}ランキング
UI_20150317_000799	{@st42}バトルフィールド日程
UI_20150317_000800	{@st42}最近の戦績
UI_20150317_000801	{@st41}経験値受取
UI_20150317_000802	{@st41}PVPページ
UI_20150317_000803	{@st41}検索
UI_20150317_000804	{@st43}バトルフィールドランキング
UI_20150317_000805	{@st59}バトルフィールドランキングを閉じます。
UI_20150317_000806	{@st56}スキル名{/}
UI_20150317_000807	{@st41}座標確認{/}
UI_20150317_000808	{@st41}訪ねる{/}
UI_20150317_000809	{@st42b}モンスター出現管理{/}
UI_20150317_000810	{@st42b}モンスターリスト{/}
UI_20150317_000811	{@st42b}UI作成{/}
UI_20150317_000812	{@st42b}マップフォグ{/}
UI_20150317_000813	{@st42b}マップ製作{/}
UI_20150317_000814	{@st42b}ミニマップ製作{/}
UI_20150317_000815	{@st42b}ダイアログ {/}
UI_20150317_000816	{@st42b}クエスト報酬修正{/}
UI_20150317_000817	{@st42b}グループ出現{/}
UI_20150317_000818	{@st42b}マップ位置指定{/}
UI_20150317_000819	{@st42b}スキルマップ{/}
UI_20150317_000820	{@st42b}イベントリスト{/}
UI_20150317_000821	{@st42b}座標確認{/}
UI_20150317_000822	{@st42b}XAC、テクスチャ経路確認{/}
UI_20150317_000823	{@st42b}パフォーマンスONOFF{/}
UI_20150317_000824	セリフリスト
UI_20150317_000825	検索。
UI_20150317_000826	{@st41}プレビュー{/}
UI_20150317_000827	{@st41}Off{/}
UI_20150317_000828	{@st41}消去{/}
UI_20150317_000829	{@st41}全て保存{/}
UI_20150317_000830	{@st41}イラスト適用{/}
UI_20150317_000831	 {#FFFFFF}{ds}イベント選択
UI_20150317_000832	 {#FFFFFF}{ds}イベント編集
UI_20150317_000833	{ol}リスト
UI_20150317_000834	保存するグループ名
UI_20150317_000835	{@st42}新規作成{/}
UI_20150317_000836	{@st41}グループ出現{/}
UI_20150317_000837	{@st59}検索するモンスターの名前を入力します{/}
UI_20150317_000838	{@st59}保存するグループの名前を入力します{/}
UI_20150317_000839	{@st41}新しいグループ{/}
UI_20150317_000840	フィルタリング
UI_20150317_000841	{@st59}フィルターを入力します{/}
UI_20150317_000842	{ol}属性値
UI_20150317_000843	クラスリスト
UI_20150317_000844	XMLに適用
UI_20150317_000845	 {#FFFFFF}{ds}ログ
UI_20150317_000846	 {#FFFFFF}{ds}全ての属性を見る
UI_20150317_000847	検索ワードを入力します。
UI_20150317_000848	全ての属性値
UI_20150317_000849	{ol}名前
UI_20150317_000850	{ol}値
UI_20150317_000851	ローグ
UI_20150317_000852	{ol}リビジョン
UI_20150317_000853	{ol}ログ
UI_20150317_000854	クラスリスト
UI_20150317_000855	XML変換
UI_20150317_000856	{ol}クラスネーム
UI_20150317_000857	{ol}属性名
UI_20150317_000858	{ol}変更値
UI_20150317_000859	{ol}反映
UI_20150317_000860	フォルダを開く
UI_20150317_000861	全体チェック
UI_20150317_000862	ヒストリ
UI_20150317_000863	値ロールバック
UI_20150317_000864	{ol}アイテム選択
UI_20150317_000865	検索する名前を入力します。
UI_20150317_000866	{@st42}確認{/}
UI_20150317_000867	{@st41}UI作成{/}
UI_20150317_000868	{ol}フレーム
UI_20150317_000869	{@st41}フレーム{/}
UI_20150317_000870	{@st41}ボタン{/}
UI_20150317_000871	{@st41}テキスト{/}
UI_20150317_000872	{@st42b}一般{img btn_close}
UI_20150317_000873	{@st42b}競売{img btn_close}
UI_20150317_000874	{@st41}マップ位置指定{/}
UI_20150317_000875	{@st41}名前変更{/}
UI_20150317_000876	{@st59}フィルタリングする内容を入力します{/}
UI_20150317_000877	{@st41}作る{/}
UI_20150317_000878	{@st56}XML保存{/}
UI_20150317_000879	{@st56}初期化{/}
UI_20150317_000880	{@st56}属性{/}
UI_20150317_000881	{@st56}値{/}
UI_20150317_000882	{@st42}内容{/}
UI_20150317_000883	{@st41}元に戻す{/}
UI_20150317_000884	{@st41}全て保存{/}
UI_20150317_000885	{@st41}XMLを開く{/}
UI_20150317_000886	{@st42b}固定スキル : 0{/}
UI_20150317_000887	{@st42b}固定スキル : %s{/}
UI_20150317_000888	{@st42b}マウスホーミング{/}
UI_20150317_000889	{@st42b}スキル名{/}
UI_20150317_000890	{@st41}モンスターリスト{/}
UI_20150317_000891	{@st41}パフォーマンスマネージャー{/}
UI_20150317_000892	{ol}クエスト選択
UI_20150317_000893	検索するクエスト名を入力します。
UI_20150317_000894	{ol}マップ選択
UI_20150317_000895	検索するマップの名前を入力します。
UI_20150317_000896	{@st42}現在のマップ{/}
UI_20150317_000897	{ol}マップ名
UI_20150317_000898	{ol}座標
UI_20150317_000899	{@st41}クエスト報酬修正{/}
UI_20150317_000900	{@st59}検索するクエストを入力します{/}
UI_20150317_000901	{@st59}検索するアイテムを入力します{/}
UI_20150317_000902	{@st42}経験値
UI_20150317_000903	{ol}基本報酬
UI_20150317_000904	{ol}個数
UI_20150317_000905	{ol}追加報酬
UI_20150317_000906	{@st45}よく使うチート
UI_20150317_000907	{@st41}スキルマップ{/}
UI_20150317_000908	{@st42}アビリティ{/}
UI_20150317_000909	{@st42}ソードマン{/}
UI_20150317_000910	{@st42}ウィザード{/}
UI_20150317_000911	{@st42}アーチャー{/}
UI_20150317_000912	{@st42}モンク{/}
UI_20150317_000913	{@st42}ソーサラー{/}
UI_20150317_000914	{@st41}スキルバン{/}
UI_20150317_000915	{@st59}xmlロード{/}
UI_20150317_000916	{@st41}読み込む{/}
UI_20150317_000917	{@st59}xmlで保存{/}
UI_20150317_000918	{@st59}開いているスキルマップリセット{/}
UI_20150317_000919	{@st41}リセット{/}
UI_20150317_000920	{@st59}全てのスキルマップリセット{/}
UI_20150317_000921	{@st41}全てリセット{/}
UI_20150317_000922	{s18}解除スクリプト
UI_20150317_000923	{s18}文字列印字
UI_20150317_000924	{s18}数字1印字
UI_20150317_000925	{s18}数字2印字
UI_20150317_000926	{s18}スキル最大レベル
UI_20150317_000927	{@st59}解除スクリプト入力ウィンドウ{/}
UI_20150317_000928	{@st59}解除スクリプト印字{/}
UI_20150317_000929	{@st59}スキル最大レベル{/}
UI_20150317_000930	{@st59}属性保存{/}
UI_20150317_000931	{@st41}属性保存{/}
UI_20150317_000932	{@st44}UIリスト{/}
UI_20150317_000933	{ds}アドオンリスト
UI_20150317_000934	{ds}固定フレームリスト
UI_20150317_000935	{@st42}UIリスト{/}
UI_20150317_000936	{@st59}UIリストを表示する{/}
UI_20150317_000937	{@st42}位置調節{/}
UI_20150317_000938	{@st59}位置調節{/}
UI_20150317_000939	{@st42}属性編集{/}
UI_20150317_000940	{@st59}属性編集{/}
UI_20150317_000941	{@st42}保存{/}
UI_20150317_000942	{@st59}保存{/}
UI_20150317_000943	{@st44}UI属性編集{/}
UI_20150317_000944	{@st59}キャラクター選択{/}
UI_20150317_000945	{@st59}ログアウト{/}
UI_20150317_000946	{@st59}ゲーム設定{/}
UI_20150317_000947	{@st59}ゲーム終了{/}
UI_20150317_000948	{@st43}バラック設定{/}
UI_20150317_000949	{@st59}バラック設定を閉じます{/}
UI_20150317_000950	{@st42_b}{s18}{#f5c384}チーム名{/}
UI_20150317_000951	{@st59}チーム名を入力してください{/}
UI_20150317_000952	{@st59}チーム名を保存します{/}
UI_20150317_000953	systemmenu_vertical 暫定削除
UI_20150317_000954	{@st59}バラック編集を閉じます{/}
UI_20150317_000955	{@st43}バラック編集{/}
UI_20150317_000956	{@st41b}   テーマ   {/}
UI_20150317_000957	{@st41b}   アイテム配置   {/}
UI_20150317_000958	{@st41b}名前
UI_20150317_000959	{@st41b}価格
UI_20150317_000960	{@st41b}状態
UI_20150317_000961	{@st44}新しいキャラクター{/}
UI_20150317_000962	{@st41b}{s22}クラスを選択してください{/}
UI_20150317_000963	{@st41b}作成取消{/}
UI_20150317_000964	{@st59}キャラクター作成を取消します{/}
UI_20150317_000965	キャラクター選択
UI_20150317_000966	{@st41}キャラクター{/}
UI_20150317_000967	{@st59}右に回転{/}
UI_20150317_000968	{@st59}左に回転{/}
UI_20150317_000969	{@st43b}キャラクター回転{/}
UI_20150317_000970	{@st43}キャラクター名{/}
UI_20150317_000971	{@st59}名前を入力します{/}
UI_20150317_000972	{@st43b}性別選択{/}
UI_20150317_000973	{@st59}女性{/}
UI_20150317_000974	{@st59}男性{/}
UI_20150317_000975	{@st43b}ヘア選択{/}
UI_20150317_000976	{@st59}ヘア1{/}
UI_20150317_000977	{@st59}ヘア2{/}
UI_20150317_000978	{@st59}ヘア3{/}
UI_20150317_000979	{@st59}ヘア4{/}
UI_20150317_000980	{@st59}ヘア5{/}
UI_20150317_000981	{@st59}ヘア6{/}
UI_20150317_000982	{@st59}ヘア7{/}
UI_20150317_000983	{@st59}ヘア8{/}
UI_20150317_000984	{@st59}ヘア9{/}
UI_20150317_000985	{@st59}ヘア10{/}
UI_20150317_000986	{@st43b}クラス選択{/}
UI_20150317_000987	{@st59}ソードマン{/}
UI_20150317_000988	{@st59}ウィザード{/}
UI_20150317_000989	{@st59}アーチャー{/}
UI_20150317_000990	{@st59}クレリック{/}
UI_20150317_000991	{@st41b}バラック訪問{/}
UI_20150317_000992	{@st59}他の人のバラックを訪問します。{/}
UI_20150317_000993	{@st41b}ログアウト{/}
UI_20150317_000994	{@st59}ログイン画面へ移動します{/}
UI_20150317_000995	{@st41b}ゲーム終了{/}
UI_20150317_000996	{@st59}ゲームを終了します{/}
UI_20150317_000997	{@st41b}ゲームを開始するチャンネルを選択してください{/}
UI_20150317_000998	{@st43}ゲーム開始{/}
UI_20150317_000999	{@st59}選択したキャラクターでゲームを開始します{/}
UI_20150317_001000	{@st43}{s26}チーム名{/}
UI_20150317_001001	{@st59}チーム名{/}
UI_20150317_001002	{@st41b}チーム名変更{/}
UI_20150317_001003	{@st59}チーム名を変更します{/}
UI_20150317_001004	{@st41}コンパニオン{/}
UI_20150317_001005	チャットドラッグ
UI_20150317_001006	{@st44}新しいチャットウィンドウ名{/}
UI_20150317_001007	{@st42}変更{/}
UI_20150317_001008	{@st44}新しいウィンドウ名{/}
UI_20150317_001009	{@st43}{s40}{gr gradation4}キャラクター作成{/}
UI_20150317_001010	{@st59}キャラクターを作成します{/}
UI_20150317_001011	{@st59}作成を取消します{/}
UI_20150317_001012	{@st59}チーム名入力を閉じます{/}
UI_20150317_001013	{@st59}入力した名前でチームを作成します{/}
UI_20150317_001014	{@st43}{s30}{#f0dcaa}チーム名入力！
UI_20150317_001015	{@st41b} チーム名はすべてのキャラクターを代表する名前です。{nl}自由に変えることのできるチーム名は、取引やギルド加入、チャットなどに使われる共有の名前です。{/}
UI_20150317_001016	ローディング背景
UI_20150317_001017	TIP
UI_20150317_001018	ゲームTIP
UI_20150317_001019	ログイン
UI_20150317_001020	アカウント
UI_20150317_001021	{@st59}IDを入力してください{/}
UI_20150317_001022	パスワード
UI_20150317_001023	{@st59}パスワードを入力してください{/}
UI_20150317_001024	{@st43}ゲームに接続{/}
UI_20150317_001025	{@st59}選択したサーバーに接続します{/}
UI_20150317_001026	{@st41b}リプレイ{/}
UI_20150317_001027	{@st41b}シングルモード{/}
UI_20150317_001028	{@st41b}ゲーム終了{/}
UI_20150317_001029	保存
UI_20150317_001030	{@st59}チェックするとアカウントを保存します{/}
UI_20150317_001031	サーバーリスト
UI_20150317_001032	{@st59}接続するサーバーを選択してください{/}
UI_20150317_001033	ログインタイトル
UI_20150317_001034	[CBTテストバージョン]
UI_20150317_001035	オプション
UI_20150317_001036	視野距離
UI_20150317_001037	{s20}{#BBBBBB}視野距離
UI_20150317_001038	視野距離 :
UI_20150317_001039	キャラクター :
UI_20150317_001040	背景オブジェクト :
UI_20150317_001041	地形-草(%) :
UI_20150317_001042	地形-ツリー (%) :
UI_20150317_001043	地形-オブジェクト(%) :
UI_20150317_001044	シャドウ
UI_20150317_001045	{s20}{#BBBBBB}シャドウマップ
UI_20150317_001046	シャドウマップ使用
UI_20150317_001047	シャドウ品質 :
UI_20150317_001048	SSAO使用
UI_20150317_001049	SSAO方式 :
UI_20150317_001050	SSAO解像度 :
UI_20150317_001051	水の反射
UI_20150317_001052	{s20}{#BBBBBB}水の反射
UI_20150317_001053	キャラクターの水の反射
UI_20150317_001054	背景の水の反射
UI_20150317_001055	{s20}{#BBBBBB}Glow 設定
UI_20150317_001056	Glow使用
UI_20150317_001057	{@st41}攻撃力{/}
UI_20150317_001058	{@st41}防御力{/}
UI_20150317_001059	{@st41}補助{/}
